fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Troyes -- Toulouse,0,0.1554278,0.74841431,0,0.021559101,0,1,0,0,0,0,4,8,0,1,0,0,0,0,0,14/08/2022 13:00,0.040536001,0,2.044305068,0,0,1,0,3,0,0,1,0,9,0,0,0,0,2,0,0,0.92540121,2.084841069,0.92540121,2.084841069,0.1769869,0.040536001,2022,Ligue1
Nice -- Strasbourg,0.032275699,0.0155082,0.702336912,0.760095,0,0,0,2,1,0,1,1,10,1,0,0,0,0,1,0,14/08/2022 15:05,0,0.203933999,1.368134769,0,0,0,1,4,0,0,0,1,8,0,0,0,0,1,0,0,1.510215811,1.572068768,0.750120811,1.572068768,0.047783899,0.203933999,2022,Ligue1
Brest -- Marseille,0,0.263032106,1.378291398,0,0,0,1,4,0,0,0,7,10,0,0,0,1,0,0,0,14/08/2022 18:45,0,0.406235009,0.903342377,0,0,0,1,1,0,0,0,1,4,0,0,0,1,0,0,0,1.641323504,1.309577387,1.641323504,1.309577387,0.263032106,0.406235009,2022,Ligue1
Lyon -- Troyes,0,0,3.816116614,0,0,0,0,8,0,0,0,0,16,0,0,0,0,4,0,0,19/08/2022 19:00,0,0.063785397,0.124398503,0.760095,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,3.816116614,0.9482789,3.816116614,0.1881839,0,0.063785397,2022,Ligue1
Monaco -- Lens,0,0.382470012,1.077709831,0,1.145718992,0,1,3,0,1,0,1,9,0,2,0,1,0,0,0,20/08/2022 15:00,0,0.086797502,1.611222422,0.760095,0,0,0,5,1,0,0,2,11,1,0,0,0,3,1,0,2.605898835,2.458114924,2.605898835,1.698019924,1.528189003,0.086797502,2022,Ligue1
Marseille -- Nantes,0,0.672802504,1.068153495,0,0,0,2,3,0,0,0,5,11,0,0,0,1,0,0,0,20/08/2022 19:00,0,0.1257397,1.472548194,0.760029018,0,0,0,2,1,0,0,3,9,1,0,0,0,0,1,0,1.740955999,2.358316912,1.740955999,1.598287894,0.672802504,0.1257397,2022,Ligue1
Strasbourg -- Reims,0.078722797,0.930482414,0.435301896,0,0.0197795,1,1,1,0,0,1,4,6,0,1,0,1,0,0,0,21/08/2022 11:00,0.054703102,0.024489701,1.943489725,0,0.0237041,1,1,4,0,0,1,1,9,0,1,0,0,1,0,0,1.464286607,2.046386627,1.464286607,2.046386627,1.028984711,0.102896903,2022,Ligue1
Angers -- Brest,0.0820799,0,0.970871076,0,0,1,0,4,0,0,2,0,5,0,0,0,0,1,0,0,21/08/2022 13:00,0,0.847551011,1.629136778,0,0,0,2,5,0,0,0,4,7,0,0,0,2,1,0,0,1.052950976,2.476687789,1.052950976,2.476687789,0.0820799,0.847551011,2022,Ligue1
Clermont Foot -- Nice,0,0.109113,0.641887301,0,0,0,0,2,0,0,0,1,6,0,0,0,0,1,0,0,21/08/2022 13:00,0,0.137952799,1.952068592,0,0,0,1,3,0,0,0,4,9,0,0,0,0,0,0,0,0.751000301,2.090021391,0.751000301,2.090021391,0.109113,0.137952799,2022,Ligue1
Montpellier -- Auxerre,0,0.132092501,0.470889901,0,0,0,1,6,0,0,0,3,10,0,0,0,1,0,0,0,21/08/2022 13:00,0,0.110215001,0.421540799,0.760095,0,0,0,1,1,0,0,1,5,1,0,0,0,1,1,0,0.602982402,1.2918508,0.602982402,0.531755799,0.132092501,0.110215001,2022,Ligue1
