fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Monaco -- Toulouse,0.204065595,0.125740007,1.26011269,0,0.556443911,1,1,4,0,1,3,1,10,0,3,0,1,1,0,1,0.059932601,0.0537352,0.135130499,0,0,0,1,2,0,0,1,1,4,0,0,04/08/2017 19:45,0,1,1,0,0,2.146362202,0.2487983,2.146362202,0.2487983,0.886249512,0.113667801,2017,Ligue1
Paris Saint Germain -- Amiens,0,0.560106602,1.696614199,0,0.016726,0,0,5,0,0,0,4,11,0,1,0,0,2,0,0,0,0.0389489,0.151352405,0,0,0,0,1,0,0,0,2,5,0,0,05/08/2017 16:15,0,0,0,0,0,2.273446801,0.190301305,2.273446801,0.190301305,0.576832602,0.0389489,2017,Ligue1
Lyon -- Strasbourg,0.133233599,0.101911999,0.732588991,0.760095,0,1,0,5,1,0,2,1,8,1,0,0,0,3,1,0,0,0.021154599,0.2712903,0,0,0,0,1,0,0,0,1,6,0,0,05/08/2017 19:00,0,0,0,0,0,1.72782959,0.2924449,0.967734589,0.2924449,0.235145599,0.021154599,2017,Ligue1
Metz -- Guingamp,0,0,0.537831008,0,0.0195396,0,0,4,0,0,0,0,5,0,1,0,0,1,0,0,0.028567901,0,0.660624085,0.760095,0.0098586,0,0,4,1,0,1,0,10,1,1,05/08/2017 19:00,0,0,2,1,0,0.557370608,1.459145586,0.557370608,0.699050586,0.0195396,0.038426501,2017,Ligue1
Montpellier -- Caen,0,0.0443267,1.417458794,0,0,0,0,2,0,0,0,1,9,0,0,0,0,1,0,0,0,0.106394999,0.212844802,0,0,0,0,1,0,0,0,1,7,0,0,05/08/2017 19:00,0,0,0,0,0,1.461785494,0.319239801,1.461785494,0.319239801,0.0443267,0.106394999,2017,Ligue1
Saint-Etienne -- Nice,0,0,0.882782386,0,0.0609015,0,0,3,0,0,0,0,7,0,1,0,0,1,0,0,0,0.0532586,0.492767897,0,0.0477468,0,0,2,0,0,0,2,3,0,1,05/08/2017 19:00,0,0,0,0,0,0.943683886,0.593773296,0.943683886,0.593773296,0.0609015,0.1010054,2017,Ligue1
Troyes -- Rennes,0,0.083975798,1.253645699,0,0,0,0,4,0,0,0,2,9,0,0,0,0,1,0,0,0,0.117996,1.661016617,0,0.092750199,0,0,3,0,1,0,1,13,0,2,05/08/2017 19:00,0,0,1,0,0,1.337621498,1.871762816,1.337621498,1.871762816,0.083975798,0.210746199,2017,Ligue1
Lille -- Nantes,0,0.158981999,0.9952636,0.760095,0,0,1,3,1,0,0,3,10,1,0,0,1,1,1,0,0.056182101,0.0138096,1.014906304,0,0,1,1,2,0,0,1,1,7,0,0,06/08/2017 14:00,0,0,0,0,0,1.914340599,1.084898005,1.154245599,1.084898005,0.158981999,0.069991701,2017,Ligue1
Angers -- Bordeaux,0,0,1.111459183,0,0,0,0,5,0,0,0,0,9,0,0,0,0,2,0,0,0,0.0196913,1.759464791,0,0,0,0,4,0,0,0,1,6,0,0,06/08/2017 16:00,0,0,2,0,0,1.111459183,1.779156091,1.111459183,1.779156091,0,0.0196913,2017,Ligue1
Marseille -- Dijon,0.058159702,0.356386701,2.001493138,0,0,0,0,5,0,0,1,2,15,0,0,0,0,3,0,0,0.070000298,0.0517128,0.473269375,0,0,0,0,1,0,0,1,1,10,0,0,06/08/2017 20:00,0,0,0,0,0,2.41603954,0.594982473,2.41603954,0.594982473,0.414546402,0.121713098,2017,Ligue1
Nice -- Troyes,0.0451812,0.200746801,0.926124796,0.760095,0,1,0,4,1,0,1,4,14,1,0,0,0,0,1,0,0,0,0.433643901,0,0,0,0,4,0,0,0,0,10,0,0,11/08/2017 18:00,0,0,2,0,0,1.932147797,0.433643901,1.172052797,0.433643901,0.245928001,0,2017,Ligue1
Rennes -- Lyon,0.058203101,0.263648601,0.214854301,0,0.178778404,1,1,3,0,0,1,5,8,0,3,1,0,0,0,0,0.131570004,0.300065193,1.117808898,0,0,1,1,5,0,0,2,3,12,0,0,11/08/2017 19:45,1,0,1,0,0,0.715484408,1.549444095,0.715484408,1.549444095,0.500630107,0.431635197,2017,Ligue1
Nantes -- Marseille,0,0.166317202,1.129703268,0,0,0,0,3,0,0,0,2,12,0,0,0,0,0,0,0,0.048833799,0.165826298,1.705192881,0,0,1,2,7,0,0,1,3,9,0,0,12/08/2017 16:00,0,0,1,0,0,1.296020471,1.919852978,1.296020471,1.919852978,0.166317202,0.214660097,2017,Ligue1
Amiens -- Angers,0,0.156434797,0.483004501,0,0.066203199,0,0,1,0,0,0,2,7,0,1,0,0,0,0,0,0.108075,0.1414349,1.224251891,0,0,0,1,5,0,0,1,2,9,0,0,12/08/2017 19:00,0,0,2,0,0,0.705642497,1.473761791,0.705642497,1.473761791,0.222637996,0.249509901,2017,Ligue1
Bordeaux -- Metz,0,0.0421906,2.103254382,0,0,0,0,5,0,0,0,1,11,0,0,0,0,2,0,0,0,0,0.139968302,0,0.385123014,0,0,1,0,0,0,0,5,0,1,12/08/2017 19:00,0,0,0,0,0,2.145444982,0.525091317,2.145444982,0.525091317,0.0421906,0.385123014,2017,Ligue1
