fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Chievo -- Juventus,0,0,0.290158903,0.761299014,0,0,0,1,1,0,0,1,5,1,0,0,0,1,1,0,0.061629798,0.138860798,1.94485432,0,0.114284599,1,0,7,0,2,1,5,18,0,2,18/08/2018 19:00,0,0,1,0,1,1.051457917,2.259629516,0.290158903,2.259629516,0,0.314775196,2018,SerieA
Lazio -- Napoli,0,0.631171018,0.451190299,0,0,0,0,1,0,0,0,2,8,0,0,0,0,1,0,0,0,0,1.519424498,0,0,0,0,3,0,0,0,0,10,0,0,18/08/2018 21:30,0,0,2,0,0,1.082361317,1.519424498,1.082361317,1.519424498,0.631171018,0,2018,SerieA
Torino -- Roma,0,0.019998901,0.476522496,0,0,0,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0.124214401,0.988745306,0,0.0703198,0,1,4,0,0,0,4,11,0,2,19/08/2018 19:00,0,0,1,0,0,0.496521397,1.183279507,0.496521397,1.183279507,0.019998901,0.194534201,2018,SerieA
Bologna -- SPAL 2013,0.045627799,0.0141484,0.847168701,0,0,0,0,3,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0.528328498,0,0,0,0,5,0,0,0,0,13,0,0,19/08/2018 21:30,0,0,1,0,0,0.9069449,0.528328498,0.9069449,0.528328498,0.059776199,0,2018,SerieA
Empoli -- Cagliari,0,0.180912599,1.278154518,0,0,0,2,2,0,0,0,2,7,0,0,0,0,2,0,0,0.047991101,0.027933801,0.448396794,0,0.049734298,1,1,1,0,0,1,1,11,0,1,19/08/2018 21:30,0,0,0,0,0,1.459067117,0.574055994,1.459067117,0.574055994,0.180912599,0.125659199,2018,SerieA
Parma Calcio 1913 -- Udinese,0,0.0311685,1.461629815,0,0.0617541,0,0,4,0,0,0,1,7,0,1,0,0,2,0,0,0,0.109346101,1.124499983,0.761299014,0,0,0,3,1,0,0,3,13,1,0,19/08/2018 21:30,0,0,1,1,0,1.554552415,1.995145098,1.554552415,1.233846084,0.0929226,0.109346101,2018,SerieA
Sassuolo -- Inter,0,0.038557,0.605259999,0.761299014,0,0,0,1,1,0,0,1,9,1,0,0,0,0,1,0,0,0.0229028,0.844687983,0,0.337072015,0,0,2,0,1,0,1,13,0,1,19/08/2018 21:30,0,0,0,0,0,1.405116013,1.204662798,0.643816999,1.204662798,0.038557,0.359974815,2018,SerieA
Atalanta -- Frosinone,0,0.060606599,2.60818122,0,0,0,0,9,0,0,0,2,15,0,0,0,0,4,0,0,0.0448885,0,0.3038777,0,0,0,0,0,0,0,1,0,5,0,0,20/08/2018 21:30,0,0,0,0,0,2.668787818,0.3487662,2.668787818,0.3487662,0.060606599,0.0448885,2018,SerieA
Juventus -- Lazio,0.050448399,0.103317896,1.312766424,0,0.0406393,0,1,5,0,1,1,2,12,0,1,0,0,2,0,0,0,0,0.315519599,0,0,0,0,2,0,0,0,0,9,0,0,25/08/2018 19:00,0,0,0,0,0,1.507172019,0.315519599,1.507172019,0.315519599,0.194405595,0,2018,SerieA
Napoli -- AC Milan,0,0.078701898,1.958495521,0,0,0,1,7,0,0,0,3,21,0,0,0,1,2,0,0,0,0.022348201,0.353136397,0,0.145647004,0,0,2,0,0,0,1,6,0,1,25/08/2018 21:30,0,0,2,0,0,2.037197419,0.521131602,2.037197419,0.521131602,0.078701898,0.167995205,2018,SerieA
SPAL 2013 -- Parma Calcio 1913,0.062630601,0.460085801,0.844271193,0,0.054161798,0,0,4,0,1,1,5,11,0,1,0,0,1,0,0,0.037485398,0.049771201,0.066659298,0,0,0,0,0,0,0,1,1,2,0,0,26/08/2018 19:00,0,0,0,0,0,1.421149394,0.153915897,1.421149394,0.153915897,0.5768782,0.087256599,2018,SerieA
Cagliari -- Sassuolo,0,0.718030994,0.746584205,0,0.0596343,0,1,3,0,2,0,5,7,0,3,0,1,1,0,0,0.059124999,0.089978402,0.874789101,0.761299014,0,0,0,4,1,0,1,2,9,1,0,26/08/2018 21:30,0,0,1,1,0,1.524249499,1.785191516,1.524249499,1.023892502,0.777665294,0.149103401,2018,SerieA
Fiorentina -- Chievo,0,0.932748288,2.427295582,0,0,0,3,8,0,0,0,5,17,0,0,0,1,5,0,0,0,0.0457916,0.574393824,0,0.016827401,0,1,2,0,0,0,1,6,0,1,26/08/2018 21:30,0,1,0,0,0,3.36004387,0.637012824,3.36004387,0.637012824,0.932748288,0.062619001,2018,SerieA
Frosinone -- Bologna,0.034822099,0.148339801,1.596277883,0,0,1,1,2,0,0,1,2,8,0,0,0,0,0,0,0,0.0971232,0.066309799,0.749221899,0,0.0128096,0,0,3,0,0,2,2,10,0,1,26/08/2018 21:30,0,0,0,0,0,1.779439782,0.925464497,1.779439782,0.925464497,0.183161899,0.176242598,2018,SerieA
Genoa -- Empoli,0.237065397,0,0.589942094,0,0.125771798,0,0,3,0,0,2,0,7,0,4,0,0,2,0,0,0.050588202,0.1000269,1.094646597,0,0.0163786,0,0,4,0,0,1,2,14,0,1,26/08/2018 21:30,0,0,1,0,0,0.952779289,1.261640299,0.952779289,1.261640299,0.362837195,0.166993702,2018,SerieA
Inter -- Torino,0,0.144500298,0.531801404,0,0.112793997,0,0,4,0,1,0,2,10,0,1,0,0,1,0,1,0.095481999,0.098779202,0.732458596,0,0,0,0,6,0,0,1,1,11,0,0,26/08/2018 21:30,0,0,2,0,0,0.7890957,0.926719797,0.7890957,0.926719797,0.257294295,0.194261201,2018,SerieA
Udinese -- Sampdoria,0.038915601,0.741035683,1.018716496,0,0,0,2,4,0,0,1,6,10,0,0,0,0,1,0,0,0.065505102,0.201662898,0.318416802,0,0,0,1,2,0,0,1,5,9,0,0,26/08/2018 21:30,0,0,0,0,0,1.79866778,0.585584803,1.79866778,0.585584803,0.779951284,0.267168,2018,SerieA
Roma -- Atalanta,0.035010301,0.070686499,1.531630706,0,0.597140014,0,1,8,0,1,1,4,19,0,1,0,0,2,0,1,0,0.367718407,1.997088219,0,0.00967237,0,1,3,0,1,0,7,15,0,1,27/08/2018 21:30,0,0,3,0,0,2.234467519,2.374478996,2.234467519,2.374478996,0.702836813,0.377390777,2018,SerieA
AC Milan -- Roma,0.0359805,0.099886302,1.549313013,0,0.00918927,1,2,7,0,0,1,3,21,0,1,0,0,2,0,0,0,0.0741418,0.2374469,0,0,0,1,1,0,0,0,1,5,0,0,31/08/2018 21:30,0,1,0,0,0,1.694369086,0.311588701,1.694369086,0.311588701,0.145056073,0.0741418,2018,SerieA
Bologna -- Inter,0.029019799,0.259846002,0.133282002,0,0.072217502,0,1,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,2.447151706,0,0.0126258,0,0,3,0,0,0,0,13,0,1,01/09/2018 16:00,0,0,3,0,0,0.494365305,2.459777506,0.494365305,2.459777506,0.361083303,0.0126258,2018,SerieA
Parma Calcio 1913 -- Juventus,0.0493857,0.051850699,2.043013513,0,0,0,1,3,0,0,1,1,9,0,0,0,0,1,0,0,0.070949603,0.113928203,2.084504616,0,0,1,0,5,0,0,2,3,19,0,0,01/09/2018 18:30,0,0,2,0,0,2.144249912,2.269382421,2.144249912,2.269382421,0.101236399,0.184877805,2018,SerieA
Fiorentina -- Udinese,0.0464244,0.041242,0.942904004,0,0.077919804,0,0,3,0,0,1,3,9,0,1,0,0,1,0,0,0,0.036267299,0.129132,0,0,0,0,1,0,0,0,1,5,0,0,02/09/2018 16:00,0,0,0,0,0,1.108490207,0.165399299,1.108490207,0.165399299,0.165586203,0.036267299,2018,SerieA
Atalanta -- Cagliari,0.0299129,0,0.255602701,0,0.038290099,1,0,1,0,0,1,0,7,0,2,0,0,0,0,0,0.047440499,0,0.203004998,0,0,1,0,2,0,0,1,0,5,0,0,02/09/2018 18:30,1,0,0,0,0,0.3238057,0.250445497,0.3238057,0.250445497,0.068202999,0.047440499,2018,SerieA
Chievo -- Empoli,0.0303516,0.690300294,0.548372606,0,0,0,1,2,0,0,1,4,4,0,0,0,0,0,0,0,0,0.033,1.307677837,0,0.0180957,0,0,2,0,0,0,2,10,0,1,02/09/2018 18:30,0,0,0,0,0,1.2690245,1.358773537,1.2690245,1.358773537,0.720651894,0.0510957,2018,SerieA
Lazio -- Frosinone,0,0.730413729,2.160725795,0,0,0,1,4,0,0,0,4,19,0,0,0,0,1,0,0,0,0.124950502,0.366777896,0,0,0,1,1,0,0,0,2,7,0,0,02/09/2018 18:30,0,0,0,0,0,2.891139524,0.491728398,2.891139524,0.491728398,0.730413729,0.124950502,2018,SerieA
Sampdoria -- Napoli,0,0.0175569,0.724998012,0,0.08713612,0,0,2,0,1,0,1,6,0,2,0,0,2,0,1,0.054157801,0.021992199,1.042845319,0,0,0,0,4,0,0,1,1,16,0,0,02/09/2018 18:30,0,0,0,0,0,0.829691032,1.11899532,0.829691032,1.11899532,0.10469302,0.07615,2018,SerieA
Sassuolo -- Genoa,0,0.228337005,1.947283922,0,0,0,1,6,0,0,0,1,9,0,0,0,1,3,0,0,0.058021002,0.137064097,1.671832408,0,0.0252914,0,0,5,0,0,1,5,15,0,1,02/09/2018 18:30,0,0,3,0,0,2.175620927,1.892208907,2.175620927,1.892208907,0.228337005,0.220376499,2018,SerieA
Torino -- SPAL 2013,0.040673401,0.406427394,1.572352191,0,0,0,2,4,0,0,1,3,6,0,0,0,1,0,0,0,0.053692199,0.057547901,0.286900101,0,0.258605987,1,0,0,0,1,1,1,7,0,1,02/09/2018 18:30,0,0,0,0,0,2.019452986,0.656746188,2.019452986,0.656746188,0.447100795,0.369846087,2018,SerieA
