fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Bordeaux -- Nantes,0,0.547621012,0.052453311,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0.092482597,0,0.0953384,0,0,0,0,1,0,0,1,0,5,0,0,21/08/2020 17:00,0,0,0,0,0,0.600074323,0.187820996,0.600074323,0.187820996,0.547621012,0.092482597,2020,Ligue1
Dijon -- Angers,0,0,0.786927372,0,0.00907016,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0.561312738,1.389135711,0,0.092921598,0,2,2,0,0,0,6,4,0,2,22/08/2020 15:00,0,1,0,0,0,0.795997532,2.043370047,0.795997532,2.043370047,0.00907016,0.654234336,2020,Ligue1
Lille -- Rennes,0,0,0.400974588,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0.0565654,0.205676198,1.028451181,0,0.0175042,0,1,2,0,0,1,3,11,0,1,22/08/2020 19:00,0,1,0,0,0,0.400974588,1.308196979,0.400974588,1.308196979,0,0.279745799,2020,Ligue1
Monaco -- Reims,0,1.414492024,0.753496706,0,0.508229971,0,2,2,0,1,0,8,13,0,1,0,1,0,0,1,0,0.091324396,1.74124473,0,0,0,0,3,0,0,0,1,8,0,0,23/08/2020 11:00,0,0,2,0,0,2.676218702,1.832569126,2.676218702,1.832569126,1.922721995,0.091324396,2020,Ligue1
Lorient -- Strasbourg,0.050964601,0.050056402,2.337516528,0.760029018,0,0,0,6,1,0,1,1,7,1,0,0,0,2,1,0,0,0,0.326825809,0,0,0,0,1,0,0,0,0,7,0,0,23/08/2020 13:00,0,0,1,0,0,3.198566549,0.326825809,2.438537531,0.326825809,0.101021003,0,2020,Ligue1
Nimes -- Brest,0.064589702,0.613399521,1.467978112,0,0,0,0,5,0,0,1,2,9,0,0,0,0,4,0,0,0.041890901,0.167372499,0.199055895,0,0.0596919,0,1,2,0,0,1,2,5,0,2,23/08/2020 13:00,0,0,0,0,0,2.145967335,0.468011195,2.145967335,0.468011195,0.677989222,0.2689553,2020,Ligue1
Nice -- Lens,0.039405301,0,0.141058397,0,0,0,0,2,0,0,1,0,3,0,0,0,0,2,0,0,0.183961099,0.304189801,1.787889987,0.760095,0,0,1,2,1,0,4,5,7,1,0,23/08/2020 15:00,0,0,0,1,0,0.180463698,3.036135888,0.180463698,2.276040887,0.039405301,0.4881509,2020,Ligue1
Lyon -- Dijon,0,0.211166903,2.20801214,1.520190001,0.034558099,0,0,10,2,0,0,3,21,2,1,0,0,1,2,0,0,0,0.2176907,0,0,0,0,2,0,0,0,0,7,0,0,28/08/2020 19:00,0,0,1,0,0,3.973927143,0.2176907,2.453737142,0.2176907,0.245725002,0,2020,Ligue1
Rennes -- Montpellier,0.146054901,0.351437002,1.289659915,0,0,0,0,7,0,0,3,1,12,0,0,0,0,1,0,0,0,0,0.23994852,0,0.253708089,0,0,3,0,0,0,0,8,0,4,29/08/2020 15:00,0,0,1,0,0,1.787151819,0.493656609,1.787151819,0.493656609,0.497491904,0.253708089,2020,Ligue1
Strasbourg -- Nice,0.060362399,0.038307901,0.129228604,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0.448846692,0.760095,0,0,0,1,1,0,0,0,2,1,0,29/08/2020 19:00,0,0,1,1,0,0.227898904,1.208941692,0.227898904,0.448846692,0.0986703,0,2020,Ligue1
