fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Bayern Munich -- Wolfsburg,0.0436965,0.055335499,2.471085628,0,0,1,0,9,0,0,1,2,14,0,0,0,0,2,0,0,0,0,1.438748086,0,0,0,0,4,0,0,0,0,9,0,0,22/08/2014 19:30,0,0,1,0,0,2.570117628,1.438748086,2.570117628,1.438748086,0.099032,0,2014,Bundesliga
Eintracht Frankfurt -- Freiburg,0,0,1.669476975,0,0.083829403,0,0,3,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1.075643202,0,0.305192286,0,0,5,0,1,0,0,11,0,2,23/08/2014 14:30,0,0,0,0,0,1.753306378,1.380835488,1.753306378,1.380835488,0.083829403,0.305192286,2014,Bundesliga
FC Cologne -- Hamburger SV,0.062489901,0.016331701,0.444734422,0,0,0,0,3,0,0,1,1,8,0,0,0,0,0,0,0,0,0.094598997,0.756196001,0,0.0625419,0,0,4,0,0,0,3,13,0,3,23/08/2014 14:30,0,0,0,0,0,0.523556023,0.913336898,0.523556023,0.913336898,0.078821601,0.157140898,2014,Bundesliga
Hannover 96 -- Schalke 04,0.104906,0,1.074886775,0,0,0,0,3,0,0,1,0,7,0,0,0,0,2,0,0,0.077140398,0.143520503,0.736004394,0,0,0,0,5,0,0,1,2,9,0,0,23/08/2014 14:30,0,0,1,0,0,1.179792775,0.956665295,1.179792775,0.956665295,0.104906,0.220660902,2014,Bundesliga
Hertha Berlin -- Werder Bremen,0.146387398,0.1118196,1.53913477,0,0,0,1,4,0,0,2,5,12,0,0,0,0,2,0,0,0.072343603,0.051340699,1.301676705,0,0.128242001,0,1,3,0,1,1,1,6,0,1,23/08/2014 14:30,0,0,1,0,1,1.797341768,1.553603008,1.797341768,1.553603008,0.258206998,0.251926303,2014,Bundesliga
Hoffenheim -- Augsburg,0.0609238,0.126807198,1.374606128,0,0,0,0,3,0,0,1,2,8,0,0,0,0,2,0,0,0,0.037588,0.132832179,0,0.110357299,0,0,1,0,1,0,1,8,0,3,23/08/2014 14:30,0,0,0,0,0,1.562337126,0.280777479,1.562337126,0.280777479,0.187730998,0.1479453,2014,Bundesliga
Borussia Dortmund -- Bayer Leverkusen,0,0.099572198,0.198161699,0,0.1845895,0,1,0,0,3,0,3,5,0,3,0,0,0,0,0,0.118983898,0,0.9697435,0,0.0620238,0,0,2,0,0,2,0,7,0,2,23/08/2014 17:30,0,0,2,0,0,0.482323397,1.150751198,0.482323397,1.150751198,0.284161698,0.181007698,2014,Bundesliga
Paderborn -- Mainz 05,0.0333049,0.233126905,0.092418998,0,0,0,0,3,0,0,1,5,4,0,0,0,0,2,0,0,0.0813968,0.133806199,0.224907627,0.757776976,0.667993583,1,0,1,1,1,2,2,7,1,2,24/08/2014 14:30,0,0,0,1,1,0.358850803,1.865881184,0.358850803,1.108104208,0.266431805,0.883196581,2014,Bundesliga
Borussia M.Gladbach -- VfB Stuttgart,0,0.731886601,1.685188379,0,0,0,2,4,0,0,0,6,14,0,0,0,0,1,0,0,0.068108797,0,0.238473304,0,0.126617,0,0,3,0,0,1,0,5,0,1,24/08/2014 16:30,0,0,1,0,0,2.41707498,0.4331991,2.41707498,0.4331991,0.731886601,0.194725797,2014,Bundesliga
Augsburg -- Borussia Dortmund,0.189365096,0.028160701,0.771881822,0,0.015730901,0,0,3,0,0,4,1,6,0,1,0,0,2,0,0,0.069382101,0.711965593,1.45740681,0,0.078955598,0,3,5,0,1,1,5,15,0,1,29/08/2014 19:30,0,2,1,0,0,1.00513852,2.317710102,1.00513852,2.317710102,0.233256698,0.860303292,2014,Bundesliga
Bayer Leverkusen -- Hertha Berlin,0.0934592,0.025309499,2.053049413,0,0.385778711,0,0,6,0,1,2,1,15,0,4,0,0,3,0,1,0,0.127902199,0.584644973,0,0,0,0,1,0,0,0,2,1,0,0,30/08/2014 14:30,0,0,1,0,0,2.557596823,0.712547172,2.557596823,0.712547172,0.50454741,0.127902199,2014,Bundesliga
Hamburger SV -- Paderborn,0.040973701,0.137492999,0.962020026,0,0,0,0,4,0,0,1,1,11,0,0,0,0,0,0,0,0,0.019989001,2.479724422,0,0.046214401,0,1,5,0,1,0,1,11,0,3,30/08/2014 14:30,0,0,3,0,0,1.140486726,2.545927824,1.140486726,2.545927824,0.1784667,0.066203402,2014,Bundesliga
VfB Stuttgart -- FC Cologne,0.046219502,0.072398601,0.546801041,0,0.057465699,1,0,3,0,1,1,2,10,0,1,0,0,0,0,0,0,0.163761005,1.134540091,0,0,0,0,4,0,0,0,1,10,0,0,30/08/2014 14:30,0,0,2,0,0,0.722884842,1.298301096,0.722884842,1.298301096,0.176083801,0.163761005,2014,Bundesliga
Werder Bremen -- Hoffenheim,0,0.786731698,1.620082428,0,0.123649099,0,0,1,0,0,0,4,9,0,2,0,0,1,0,0,0.065210402,0.079834998,1.050217625,0,0.105807997,0,0,1,0,0,1,2,8,0,1,30/08/2014 14:30,0,0,1,0,0,2.530463224,1.301071022,2.530463224,1.301071022,0.910380797,0.250853397,2014,Bundesliga
Wolfsburg -- Eintracht Frankfurt,0.083758801,0.078596398,0.842488823,0,0,2,2,7,0,0,2,2,10,0,1,1,0,1,0,0,0.041452199,0,1.527638592,0,0.027394081,0,0,2,0,0,1,0,5,0,2,30/08/2014 14:30,0,0,1,0,0,1.004844022,1.596484872,1.004844022,1.596484872,0.162355199,0.06884628,2014,Bundesliga
Schalke 04 -- Bayern Munich,0.088189803,0,0.134886053,0,1.084873188,0,0,2,0,1,1,0,4,0,3,0,0,0,0,1,0,0.055437598,1.437044807,0,0.010799,0,0,4,0,0,0,1,8,0,1,30/08/2014 17:30,0,0,1,0,0,1.307949044,1.503281405,1.307949044,1.503281405,1.173062991,0.066236598,2014,Bundesliga
Mainz 05 -- Hannover 96,0.072991498,0.169523297,0.656102947,0,0.110186301,1,0,0,0,1,1,3,8,0,2,0,0,0,0,0,0,0.0140386,0.538873613,0,0.00887449,0,1,4,0,0,0,1,9,0,1,31/08/2014 14:30,0,0,0,0,0,1.008804043,0.561786703,1.008804043,0.561786703,0.352701096,0.02291309,2014,Bundesliga
