fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Hull -- Leicester,0.203633102,0.320916299,0.2337086,0,0,1,2,2,0,0,4,4,6,0,0,0,1,1,0,0,13/08/2016 15:30,0.053837199,0,1.856255308,0.761169016,0,1,0,3,1,0,1,0,16,1,0,0,0,0,1,0,0.758258,2.671261523,0.758258,1.910092507,0.5245494,0.053837199,2016,EPL
Burnley -- Swansea,0.113609999,0,0.920759801,0,0.0170523,0,0,2,0,1,1,0,8,0,1,0,0,0,0,0,13/08/2016 18:00,0.061276801,0.626650319,1.053504994,0,0.0113247,1,0,7,0,0,1,2,13,0,1,0,0,1,0,0,1.051422101,1.752756814,1.051422101,1.752756814,0.1306623,0.699251819,2016,EPL
Crystal Palace -- West Bromwich Albion,0.079678699,0.0129867,0.875326495,0,0.0237504,0,0,4,0,0,2,1,10,0,1,0,0,0,0,0,13/08/2016 18:00,0,0.245605903,0.253698002,0,0.186964195,0,0,2,0,1,0,5,5,0,3,0,0,0,0,1,0.991742294,0.6862681,0.991742294,0.6862681,0.1164158,0.432570098,2016,EPL
Everton -- Tottenham,0.024291599,0.028059401,0.708405506,0,0.0293063,1,0,4,0,1,1,2,8,0,1,1,0,0,0,0,13/08/2016 18:00,0.088592902,0.67319658,0.381173097,0,0,0,1,3,0,0,1,4,8,0,0,0,0,1,0,0,0.790062806,1.142962579,0.790062806,1.142962579,0.0816573,0.761789482,2016,EPL
Middlesbrough -- Stoke,0,0.2648753,1.540351294,0,0,0,0,2,0,0,0,4,8,0,0,0,0,1,0,0,13/08/2016 18:00,0.059267599,0.0142284,0.412129707,0,0,1,0,0,0,0,1,1,10,0,0,1,0,0,0,0,1.805226594,0.485625706,1.805226594,0.485625706,0.2648753,0.073495999,2016,EPL
Southampton -- Watford,0.0657764,0.131436197,0.497382893,0,0.2454146,2,1,3,0,0,2,3,16,0,3,0,1,0,0,0,13/08/2016 18:00,0,0.0150396,0.165006401,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0.94001009,0.180046001,0.94001009,0.180046001,0.442627197,0.0150396,2016,EPL
Manchester City -- Sunderland,0.114932604,0.0378472,1.040844692,0.761169016,0,2,1,0,1,0,2,2,11,1,0,0,0,0,1,0,13/08/2016 20:30,0.057913199,0.513516111,0.419277206,0,0.108060002,1,1,1,0,0,1,3,3,0,1,0,0,1,0,0,1.954793513,1.098766519,1.193624496,1.098766519,0.152779805,0.679489313,2016,EPL
Bournemouth -- Manchester United,0,0.156587804,0.367238602,0,0,0,2,1,0,0,0,3,6,0,0,0,0,1,0,0,14/08/2016 16:30,0.110329002,0,1.993490679,0,0,1,0,6,0,0,1,0,10,0,0,0,0,3,0,0,0.523826405,2.103819681,0.523826405,2.103819681,0.156587804,0.110329002,2016,EPL
Arsenal -- Liverpool,0.055128399,0.0128448,0.233733546,0.761169016,0.119092003,0,0,3,1,1,1,1,5,1,1,0,0,2,0,1,14/08/2016 19:00,0.043230399,0,1.506604331,0,0.134894304,1,0,6,0,0,1,0,13,0,2,1,0,3,0,0,1.181967764,1.684729034,0.420798747,1.684729034,0.187065202,0.178124703,2016,EPL
Chelsea -- West Ham,0.133597098,0.189633102,0.375896899,0.761169016,0,1,0,4,1,0,2,4,9,1,0,0,0,1,1,0,15/08/2016 23:00,0.071835101,0.213281102,0.165407699,0,0,0,1,2,0,0,1,3,3,0,0,0,1,0,0,0,1.460296116,0.450523902,0.699127099,0.450523902,0.3232302,0.285116203,2016,EPL
Manchester United -- Southampton,0,0.112410001,0.493722199,0.761169016,0,0,0,4,1,0,0,1,10,1,0,0,0,1,1,0,19/08/2016 23:00,0.052353799,0,0.402173399,0,0.158705501,0,0,1,0,0,1,0,9,0,3,0,0,0,0,0,1.367301217,0.613232699,0.606132201,0.613232699,0.112410001,0.2110593,2016,EPL
Stoke -- Manchester City,0.0403593,0,0.509933106,0.761169016,0,0,0,2,1,0,1,0,6,1,0,0,0,0,1,0,20/08/2016 15:30,0,0.0116552,1.335089996,0.761169016,0.064062297,0,0,4,1,1,0,1,9,1,1,0,0,2,1,1,1.311461422,2.17197651,0.550292405,1.410807494,0.0403593,0.075717498,2016,EPL
Burnley -- Liverpool,0,0,0.197535703,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,20/08/2016 18:00,0,0.133159999,0.723996235,0,0.081868596,0,0,5,0,0,0,4,21,0,1,0,0,0,0,0,0.197535703,0.93902483,0.197535703,0.93902483,0,0.215028595,2016,EPL
Swansea -- Hull,0.050540701,0.082174199,0.998667896,0,0.00995668,1,0,2,0,0,1,2,19,0,1,0,0,0,0,0,20/08/2016 18:00,0.072605498,1.16487179,1.0608826,0,0,0,2,2,0,0,1,3,8,0,0,0,1,1,0,0,1.141339475,2.298359888,1.141339475,2.298359888,0.142671579,1.237477288,2016,EPL
Tottenham -- Crystal Palace,0.052740801,1.15205658,1.145517013,0,0,0,2,3,0,0,1,6,13,0,0,0,1,0,0,0,20/08/2016 18:00,0.0158822,0.027711799,0.314349016,0,0,0,0,2,0,0,1,1,8,0,0,0,0,0,0,0,2.350314395,0.357943015,2.350314395,0.357943015,1.204797382,0.043593999,2016,EPL
Watford -- Chelsea,0.056534201,0,0.748014485,0,0,0,0,2,0,0,1,0,5,0,0,0,0,1,0,0,20/08/2016 18:00,0.0969778,0,1.670588817,0,0,1,0,3,0,0,2,0,11,0,0,0,0,2,0,0,0.804548685,1.767566618,0.804548685,1.767566618,0.056534201,0.0969778,2016,EPL
West Bromwich Albion -- Everton,0.084454402,1.010376394,0.842218403,0,0.081803601,0,1,2,0,1,1,4,4,0,2,0,1,0,0,0,20/08/2016 18:00,0.0474931,0.587511592,1.159614627,0,0.0561116,0,2,4,0,1,1,3,8,0,1,0,1,1,0,0,2.0188528,1.850730919,2.0188528,1.850730919,1.176634397,0.691116292,2016,EPL
Leicester -- Arsenal,0.210335497,0,0.343356904,0,0,0,0,1,0,0,2,0,6,0,0,0,0,0,0,0,20/08/2016 20:30,0,0.0162834,0.506803999,0,0,0,0,4,0,0,0,1,12,0,0,0,0,0,0,0,0.5536924,0.523087399,0.5536924,0.523087399,0.210335497,0.0162834,2016,EPL
Sunderland -- Middlesbrough,0,0.0599896,1.339946514,0,0.0645638,0,0,4,0,1,0,2,14,0,2,0,0,1,0,0,21/08/2016 16:30,0,0,0.854907421,0,0,0,0,3,0,0,0,0,8,0,0,0,0,2,0,0,1.464499913,0.854907421,1.464499913,0.854907421,0.124553399,0,2016,EPL
West Ham -- Bournemouth,0.091728598,0,1.53638851,0,0.064761959,0,0,2,0,0,1,0,13,0,2,0,0,1,0,0,21/08/2016 19:00,0,0.154449601,0.2436681,0,0,0,1,4,0,0,0,2,6,0,0,0,0,0,0,0,1.692879067,0.398117701,1.692879067,0.398117701,0.156490557,0.154449601,2016,EPL
Tottenham -- Liverpool,0.120237399,0.148658805,0.321615003,0,0,2,1,1,0,0,2,2,7,0,0,0,0,1,0,0,27/08/2016 15:30,0,0.133659005,1.030863287,0.761169016,0,0,0,2,1,0,0,1,11,1,0,0,0,0,1,0,0.590511207,1.925691308,0.590511207,1.164522292,0.268896203,0.133659005,2016,EPL
