fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Bayern Munich -- Schalke 04,0.0332167,0.104492098,3.300004095,0.757776976,0.444587994,0,0,10,1,0,1,2,15,1,2,0,0,7,1,0,0,0.0299704,0.119779401,0,0,0,0,1,0,0,0,2,3,0,0,18/09/2020 18:30,0,0,0,0,0,4.640077863,0.149749801,3.882300887,0.149749801,0.582296792,0.0299704,2020,Bundesliga
Eintracht Frankfurt -- Arminia Bielefeld,0.0500389,0.63497251,1.722308762,0,0.061965499,0,3,3,0,0,1,5,11,0,1,0,0,1,0,0,0,0.032687899,0.589942499,0,0,0,0,4,0,0,0,1,12,0,0,19/09/2020 13:30,0,0,1,0,0,2.469285672,0.622630398,2.469285672,0.622630398,0.746976909,0.032687899,2020,Bundesliga
FC Cologne -- Hoffenheim,0,0,1.464171281,0,0.98307091,0,0,4,0,2,0,0,11,0,2,0,0,1,0,1,0,0.153880402,1.992320594,0.757776976,0,0,1,5,1,0,0,4,8,1,0,19/09/2020 13:30,0,0,2,1,0,2.447242191,2.903977972,2.447242191,2.146200997,0.98307091,0.153880402,2020,Bundesliga
Union Berlin -- Augsburg,0,0.011991,0.959638272,0,0.073520902,0,1,2,0,0,0,1,11,0,3,0,0,1,0,0,0,0.0149599,1.348347779,0,0.0689466,0,1,3,0,1,0,1,7,0,1,19/09/2020 13:30,0,0,3,0,0,1.045150174,1.432254279,1.045150174,1.432254279,0.085511901,0.0839065,2020,Bundesliga
VfB Stuttgart -- Freiburg,0.145164795,0.086238701,1.942524808,0,0.0165256,0,0,6,0,0,3,2,20,0,1,0,0,2,0,0,0,0,1.372354977,0,0.761283487,0,0,3,0,2,0,0,5,0,2,19/09/2020 13:30,0,0,2,0,1,2.190453904,2.133638464,2.190453904,2.133638464,0.247929096,0.761283487,2020,Bundesliga
Werder Bremen -- Hertha Berlin,0,0.0378516,0.434970714,0,0.023069501,0,0,6,0,0,0,2,13,0,1,0,0,1,0,0,0.0220591,0.236597292,1.742573012,0,0.052828901,0,0,6,0,0,1,2,9,0,1,19/09/2020 13:30,0,0,4,0,0,0.495891815,2.054058304,0.495891815,2.054058304,0.060921101,0.311485292,2020,Bundesliga
Borussia Dortmund -- Borussia M.Gladbach,0,0.044792801,0.825309303,0.757776976,0.076097399,0,0,2,1,1,0,1,7,1,1,0,0,2,1,0,0,0.049984399,0.460309098,0,0,0,0,2,0,0,0,1,7,0,0,19/09/2020 16:30,0,0,0,0,0,1.703976478,0.510293497,0.946199503,0.510293497,0.1208902,0.049984399,2020,Bundesliga
RasenBallsport Leipzig -- Mainz 05,0.040279299,0.206353199,1.833623197,0.757776976,0.403249297,1,0,5,1,2,1,4,14,1,3,0,0,1,1,1,0.040866502,0.579192903,0.400630109,0,0.051323298,0,0,1,0,0,1,4,3,0,1,20/09/2020 13:30,0,0,1,0,0,3.241281968,1.072012812,2.483504992,1.072012812,0.649881795,0.671382703,2020,Bundesliga
Wolfsburg -- Bayer Leverkusen,0,0,0.771850908,0,0.518895984,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0.0891877,0.214139298,0,0.137902007,0,2,1,0,0,0,3,3,0,1,20/09/2020 16:00,0,0,0,0,0,1.290746892,0.441229004,1.290746892,0.441229004,0.518895984,0.227089707,2020,Bundesliga
Hertha Berlin -- Eintracht Frankfurt,0,0.239030004,0.775944765,0,0.544965819,0,1,5,0,0,0,1,8,0,3,0,0,0,0,0,0,0.0275629,0.77356614,0.757776976,0.062204201,0,0,1,1,1,0,2,8,1,1,25/09/2020 18:30,0,0,1,1,1,1.559940588,1.621110217,1.559940588,0.863333241,0.783995823,0.089767101,2020,Bundesliga
