fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
AC Milan -- Udinese,0.084789399,0.043422,1.791443886,0.761299014,0,0,0,4,1,0,2,2,9,1,0,0,0,3,1,0,13/08/2022 16:30,0,0.130080998,0.309579591,0,0,0,1,3,0,0,0,1,8,0,0,0,1,1,0,0,2.6809543,0.439660589,1.919655286,0.439660589,0.1282114,0.130080998,2022,SerieA
Sampdoria -- Atalanta,0.203513406,0,0.399680798,0,0.014489,0,0,1,0,0,2,0,8,0,1,0,0,0,0,0,13/08/2022 16:30,0,0,2.244768519,0,0.0424245,0,0,3,0,0,0,0,7,0,2,0,0,2,0,0,0.617683204,2.287193019,0.617683204,2.287193019,0.218002406,0.0424245,2022,SerieA
Lecce -- Inter,0.170813095,0.112953,0.469221398,0,0,1,0,3,0,0,2,1,7,0,0,0,0,1,0,0,13/08/2022 18:45,0,0.821876114,1.703292663,0,0.0129366,0,2,7,0,0,0,4,14,0,1,0,1,1,0,0,0.752987493,2.538105377,0.752987493,2.538105377,0.283766095,0.834812714,2022,SerieA
Monza -- Torino,0.032965399,0,0.917347376,0,0.079884899,1,0,3,0,0,1,0,12,0,2,0,0,1,0,0,13/08/2022 18:45,0,0.0443024,3.3832605,0,0,0,0,6,0,0,0,1,12,0,0,0,0,2,0,0,1.030197674,3.4275629,1.030197674,3.4275629,0.112850298,0.0443024,2022,SerieA
Fiorentina -- Cremonese,0.107593,0.2553345,1.600076601,0,0.059973481,1,2,7,0,0,2,4,19,0,2,0,0,2,0,0,14/08/2022 16:30,0.093354799,0.959146023,0.652255468,0,0.080855802,0,1,3,0,0,2,1,10,0,1,0,1,1,0,0,2.022977582,1.785612091,2.022977582,1.785612091,0.422900981,1.133356623,2022,SerieA
Lazio -- Bologna,0,0.0147246,0.69494761,0,0,0,1,5,0,0,0,1,8,0,0,0,0,1,0,0,14/08/2022 16:30,0.075949997,0.154190897,0.605389813,0.761299014,0,0,1,1,1,0,1,3,7,1,0,0,0,0,1,0,0.70967221,1.596829721,0.70967221,0.835530707,0.0147246,0.230140894,2022,SerieA
Salernitana -- Roma,0.129142106,0.103639998,0.219852698,0,0.054437901,0,1,1,0,0,2,1,7,0,3,0,0,0,0,0,14/08/2022 18:45,0.109283101,0.214259304,2.797279473,0,0,0,0,4,0,0,2,3,15,0,0,0,0,1,0,0,0.507072702,3.120821878,0.507072702,3.120821878,0.287220004,0.323542405,2022,SerieA
Spezia -- Empoli,0,0.287501991,0.574373117,0,0,0,0,2,0,0,0,1,8,0,0,0,0,1,0,0,14/08/2022 18:45,0.036873601,0.049748898,0.817581724,0,0.083576202,0,1,3,0,1,1,2,14,0,1,0,0,0,0,0,0.861875108,0.987780426,0.861875108,0.987780426,0.287501991,0.170198702,2022,SerieA
Verona -- Napoli,0,0.724237822,0.431134693,0,0,0,1,2,0,0,0,3,3,0,0,0,1,1,0,0,15/08/2022 16:30,0,0.610487488,2.112213612,0,0.0771333,0,2,6,0,0,0,5,18,0,2,0,1,4,0,0,1.155372515,2.799834399,1.155372515,2.799834399,0.724237822,0.687620788,2022,SerieA
Juventus -- Sassuolo,0,0.042766799,1.437976668,0.761299014,0,0,0,3,1,0,0,2,11,1,0,0,0,2,1,0,15/08/2022 18:45,0,0.0154648,0.863279111,0,0,0,0,7,0,0,0,1,18,0,0,0,0,0,0,0,2.242042481,0.878743912,1.480743467,0.878743912,0.042766799,0.0154648,2022,SerieA
Torino -- Lazio,0,0.672368299,0.324035896,0,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,20/08/2022 16:30,0,0.018753599,0.694519,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0.996404195,0.7132726,0.996404195,0.7132726,0.672368299,0.018753599,2022,SerieA
Udinese -- Salernitana,0.120406002,0.029746899,1.244316904,0,0.066769799,0,0,2,0,0,1,2,10,0,2,0,0,0,0,0,20/08/2022 16:30,0,0.089681899,1.085950476,0,0.425494,0,0,5,0,1,0,3,12,0,2,0,0,0,0,0,1.461239604,1.601126376,1.461239604,1.601126376,0.2169227,0.515175899,2022,SerieA
Inter -- Spezia,0,0.515255507,1.967588624,0,0.148729103,0,0,6,0,2,0,4,13,0,2,0,0,3,0,0,20/08/2022 18:45,0,0.499109991,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.631573234,0.499109991,2.631573234,0.499109991,0.66398461,0.499109991,2022,SerieA
Sassuolo -- Lecce,0.121177901,0.0316839,0.652523598,0,0,0,1,2,0,0,2,2,8,0,0,0,1,0,0,0,20/08/2022 18:45,0.0455052,0.016536601,0.641722504,0,0,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,0.805385399,0.703764305,0.805385399,0.703764305,0.152861801,0.0620418,2022,SerieA
Empoli -- Fiorentina,0,0,0.75740842,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,21/08/2022 16:30,0,0.152327503,0.63766069,0,0.00833545,0,0,2,0,0,0,5,13,0,1,0,0,0,0,0,0.75740842,0.798323642,0.75740842,0.798323642,0,0.160662953,2022,SerieA
Napoli -- Monza,0.0354564,1.35975847,1.877834631,0,0,0,2,3,0,0,1,6,15,0,0,0,1,3,0,0,21/08/2022 16:30,0,0.068629697,0.0528458,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,3.273049502,0.121475497,3.273049502,0.121475497,1.395214871,0.068629697,2022,SerieA
Atalanta -- AC Milan,0,0.028495301,0.509927903,0,0,0,0,2,0,0,0,1,10,0,0,0,0,1,0,0,21/08/2022 18:45,0,0.146214398,0.852670518,0,0.53748182,0,0,7,0,0,0,3,13,0,2,0,0,1,0,0,0.538423204,1.536366736,0.538423204,1.536366736,0.028495301,0.683696218,2022,SerieA
Bologna -- Verona,0.036248099,0.075560201,1.002665886,0,0.020273199,0,0,4,0,1,1,4,11,0,1,0,0,1,0,0,21/08/2022 18:45,0,0.4210552,2.048797981,0,0,0,1,2,0,0,0,7,12,0,0,0,0,1,0,0,1.134747385,2.46985318,1.134747385,2.46985318,0.132081499,0.4210552,2022,SerieA
Roma -- Cremonese,0,0.392350616,2.554934506,0,0,0,1,10,0,0,0,5,22,0,0,0,1,0,0,0,22/08/2022 16:30,0.0576961,0.0313101,0.419936298,0,0,0,0,3,0,0,1,2,11,0,0,0,0,0,0,0,2.947285122,0.508942499,2.947285122,0.508942499,0.392350616,0.0890062,2022,SerieA
Sampdoria -- Juventus,0.069424801,0.112719601,0.769106988,0,0,0,0,1,0,0,2,3,5,0,0,0,0,0,0,0,22/08/2022 18:45,0,0.489681289,0.341437109,0,0,0,0,4,0,0,0,3,7,0,0,0,0,0,0,0,0.951251389,0.831118397,0.951251389,0.831118397,0.182144402,0.489681289,2022,SerieA
Monza -- Udinese,0,0.075797198,0.91267121,0,0,0,0,5,0,0,0,2,8,0,0,0,0,1,0,0,26/08/2022 16:30,0.0327667,0.132239301,2.089365816,0,0.00752106,0,0,4,0,0,1,2,11,0,1,0,0,2,0,0,0.988468409,2.261892876,0.988468409,2.261892876,0.075797198,0.17252706,2022,SerieA
