fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Fulham -- Arsenal,0,0,0.105654252,0,0.0206722,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0.188275903,0.576281019,1.921180408,0,0.034152001,0,1,4,0,0,2,2,8,0,1,12/09/2020 11:30,0,1,2,0,0,0.126326452,2.719889332,0.126326452,2.719889332,0.0206722,0.798708923,2020,EPL
Crystal Palace -- Southampton,0,0.066326201,0.919635028,0,0.409724899,0,0,1,0,2,0,1,2,0,2,0,0,1,0,0,0.084552601,0.0894664,0.582285685,0,0.506368995,0,1,3,0,1,2,1,5,0,1,12/09/2020 14:00,0,0,0,0,0,1.395686127,1.262673682,1.395686127,1.262673682,0.4760511,0.680387996,2020,EPL
Liverpool -- Leeds,0,0.490262914,1.088512395,1.522338033,0.0624271,0,1,2,2,1,0,3,16,2,1,0,1,0,2,1,0.0358987,0,0.233914508,0,0,0,0,3,0,0,1,0,5,0,0,12/09/2020 16:30,0,0,3,0,0,3.163540441,0.269813208,1.641202408,0.269813208,0.552690013,0.0358987,2020,EPL
West Ham -- Newcastle United,0,0.2901367,0.575732402,0,0.0118864,0,1,2,0,0,0,4,10,0,1,0,0,0,0,0,0.038421199,0.021678399,1.599013913,0,0,0,0,2,0,0,1,1,13,0,0,12/09/2020 19:00,0,0,2,0,0,0.877755501,1.659113511,0.877755501,1.659113511,0.3020231,0.060099598,2020,EPL
West Bromwich Albion -- Leicester,0.048000801,0,0.276605209,0,0.028390801,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,0.0406553,0.038389601,1.33072101,1.522338033,0.0537255,1,0,4,2,0,1,1,8,2,1,13/09/2020 13:00,0,0,1,2,0,0.352996811,2.985829443,0.352996811,1.46349141,0.076391602,0.1327704,2020,EPL
Tottenham -- Everton,0,0.191912599,0.63103091,0,0,0,0,5,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1.209945288,0,0.057982299,0,0,3,0,1,0,0,14,0,1,13/09/2020 15:30,0,0,0,0,1,0.822943509,1.267927587,0.822943509,1.267927587,0.191912599,0.057982299,2020,EPL
Sheffield United -- Wolverhampton Wanderers,0,0.102362799,0.848393688,0,0,0,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0.174951402,1.438117284,0,0,0,1,3,0,0,0,3,8,0,0,14/09/2020 17:00,0,1,1,0,0,0.950756487,1.613068687,0.950756487,1.613068687,0.102362799,0.174951402,2020,EPL
Brighton -- Chelsea,0,0.0280356,0.9195258,0,0.496133,0,0,3,0,0,0,2,10,0,1,0,0,1,0,0,0,0.052467998,0.456988402,0.761169016,0,0,1,3,1,0,0,2,7,1,0,14/09/2020 19:15,0,1,1,1,0,1.4436944,1.270625416,1.4436944,0.5094564,0.524168599,0.052467998,2020,EPL
Everton -- West Bromwich Albion,0.0620206,0.615317993,2.355908893,0,1.242869496,0,1,4,0,2,1,3,9,0,4,0,1,3,0,1,0.053274799,0,0.262071799,0,0,1,0,3,0,0,1,0,5,0,0,19/09/2020 11:30,1,0,1,0,0,4.276116982,0.315346599,4.276116982,0.315346599,1.920208089,0.053274799,2020,EPL
Leeds -- Fulham,0.061040901,0.112841401,0.397280402,0.761169016,0.124746002,0,2,4,1,0,1,2,5,1,1,0,1,2,1,0,0.035993598,0.106050197,0.651818393,0.761169016,0,0,0,5,1,0,1,2,10,1,0,19/09/2020 14:00,0,0,2,1,0,1.457077723,1.555031205,0.695908707,0.793862188,0.298628304,0.142043795,2020,EPL
Manchester United -- Crystal Palace,0.078710102,0.193843493,0.828794209,0,0,0,0,4,0,0,1,4,12,0,0,0,0,1,0,0,0,0.092002703,1.061391393,0.761169016,0,0,0,4,1,0,0,2,11,1,0,19/09/2020 16:30,0,0,2,1,0,1.101347804,1.914563112,1.101347804,1.153394096,0.272553595,0.092002703,2020,EPL
