fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Liverpool -- Norwich,0.153458998,0.105315998,1.964267401,0,0.0130758,1,1,5,0,0,1,1,12,0,1,0,1,2,0,0,0.038603898,0.021542,0.782704363,0,0,1,0,4,0,0,1,1,11,0,0,09/08/2019 20:00,0,0,1,0,0,2.236118197,0.84285026,2.236118197,0.84285026,0.271850795,0.060145898,2019,EPL
West Ham -- Manchester City,0.057605099,0,0.672379583,0,0.47031799,0,0,3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2.422636406,0.761132002,0,0,0,8,1,0,0,0,13,1,0,10/08/2019 12:30,0,0,4,1,0,1.200302672,3.183768408,1.200302672,2.422636406,0.527923089,0,2019,EPL
Bournemouth -- Sheffield United,0.102960996,0.075299602,0.147063598,0,1.609229486,0,0,1,0,2,1,3,4,0,5,0,0,0,0,1,0,0.0379337,0.668595001,0,1.304647982,0,0,2,0,1,0,2,4,0,2,10/08/2019 15:00,0,0,0,0,1,1.934553683,2.011176683,1.934553683,2.011176683,1.787490085,1.342581682,2019,EPL
Burnley -- Southampton,0,0.03602796,0.873212606,0,0,0,0,4,0,0,0,2,8,0,0,0,0,3,0,0,0.096708499,0.204998402,0.764972921,0,0.0208396,0,1,2,0,0,1,3,6,0,1,10/08/2019 15:00,0,0,0,0,0,0.909240565,1.087519421,0.909240565,1.087519421,0.03602796,0.322546501,2019,EPL
Crystal Palace -- Everton,0,0.068462603,0.721683819,0,0.081444003,0,0,2,0,0,0,1,4,0,1,0,0,0,0,0,0,0.067300998,1.173820224,0,0,0,0,2,0,0,0,1,9,0,0,10/08/2019 15:00,0,0,0,0,0,0.871590424,1.241121221,0.871590424,1.241121221,0.149906605,0.067300998,2019,EPL
Watford -- Brighton,0.142003395,0.0139931,0.2627386,0,0.25279979,0,0,2,0,1,2,1,6,0,3,0,0,0,0,0,0,0,0.855515512,0,0,0,0,3,0,0,0,0,5,0,0,10/08/2019 15:00,0,0,2,0,0,0.671534886,0.855515512,0.671534886,0.855515512,0.408796285,0,2019,EPL
Tottenham -- Aston Villa,0.161306698,0.585673984,1.835024593,0,0,1,2,3,0,0,2,5,24,0,0,0,1,2,0,0,0,0,0.610945947,0,0.0286538,0,0,3,0,1,0,0,6,0,1,10/08/2019 17:30,0,0,1,0,0,2.582005275,0.639599747,2.582005275,0.639599747,0.746980682,0.0286538,2019,EPL
Leicester -- Wolverhampton Wanderers,0,0.124745397,0.300192004,0,0.118821998,0,0,1,0,0,0,2,11,0,3,0,0,0,0,0,0,0.1257673,0.687180299,0,0,0,0,2,0,0,0,2,6,0,0,11/08/2019 14:00,0,0,0,0,0,0.543759399,0.812947599,0.543759399,0.812947599,0.243567395,0.1257673,2019,EPL
Newcastle United -- Arsenal,0,0.077080199,0.303470201,0,0,0,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0.0134162,1.095294811,0,0.024376299,0,0,2,0,0,0,1,6,0,1,11/08/2019 14:00,0,0,1,0,0,0.3805504,1.13308731,0.3805504,1.13308731,0.077080199,0.037792499,2019,EPL
Manchester United -- Chelsea,0,0,1.613255687,0.761169016,0,0,0,4,1,0,0,0,10,1,0,0,0,3,1,0,0,0.1394873,0.928562397,0,0.029906699,0,0,7,0,0,0,3,14,0,1,11/08/2019 16:30,0,0,0,0,0,2.374424703,1.097956397,1.613255687,1.097956397,0,0.169394,2019,EPL
