fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Verona -- Roma,0,0.092653602,0.785801809,0,0,0,0,6,0,0,0,1,11,0,0,0,0,1,0,0,22/08/2015 20:00,0,0.341244293,0.802499285,0,0.0193788,0,2,5,0,0,0,5,14,0,1,0,0,1,0,0,0.878455412,1.163122378,0.878455412,1.163122378,0.092653602,0.360623093,2015,SerieA
Lazio -- Bologna,0.027891699,0.045089919,1.471057102,0,0,0,1,8,0,0,1,2,18,0,0,0,0,2,0,0,22/08/2015 22:45,0.040061399,0,0.342421704,0,0,1,0,3,0,0,1,0,7,0,0,0,0,1,0,0,1.54403872,0.382483103,1.54403872,0.382483103,0.072981618,0.040061399,2015,SerieA
Juventus -- Udinese,0.1572133,0.116318002,1.550978294,0,0,0,0,5,0,0,2,1,18,0,0,0,0,0,0,0,23/08/2015 20:00,0,0,0.867177771,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,1.824509596,0.867177771,1.824509596,0.867177771,0.273531303,0,2015,SerieA
Empoli -- Chievo,0,0.172316501,1.018647213,0,0.050868399,0,2,2,0,0,0,2,11,0,1,0,0,1,0,0,23/08/2015 22:45,0,0.364574598,0.6836023,0,0.0287259,0,1,2,0,0,0,3,8,0,1,0,1,2,0,0,1.241832113,1.076902798,1.241832113,1.076902798,0.2231849,0.393300498,2015,SerieA
Fiorentina -- AC Milan,0.081758101,0.021983599,1.090962799,0.761299014,0,1,0,5,1,0,2,1,9,1,0,1,0,0,1,0,23/08/2015 22:45,0,0,0.480829399,0,0.105172101,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,1.956003513,0.5860015,1.194704499,0.5860015,0.1037417,0.105172101,2015,SerieA
Frosinone -- Torino,0,0.094181202,0.772482559,0,0.028444899,0,0,3,0,0,0,1,11,0,1,0,0,1,0,0,23/08/2015 22:45,0,0.563783705,1.435168704,0,0,0,3,3,0,0,0,5,21,0,0,0,1,1,0,0,0.89510866,1.998952409,0.89510866,1.998952409,0.122626102,0.563783705,2015,SerieA
Inter -- Atalanta,0.045820698,0.0142121,0.975686996,0,0,0,1,6,0,0,1,1,19,0,0,0,0,1,0,0,23/08/2015 22:45,0,0,0.251028698,0,0.129554003,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1.035719794,0.380582701,1.035719794,0.380582701,0.060032798,0.129554003,2015,SerieA
Palermo -- Genoa,0,0.596255613,0.509766104,0,0.533221314,0,1,4,0,1,0,3,14,0,2,0,0,0,0,1,23/08/2015 22:45,0,0.051679701,0.704690394,0,0.0210406,0,0,3,0,0,0,1,9,0,1,0,0,0,0,0,1.639243031,0.777410694,1.639243031,0.777410694,1.129476927,0.0727203,2015,SerieA
Sampdoria -- Carpi,0.2453885,0.036813401,0.338231402,0.761299014,0.025813401,1,1,4,1,0,2,1,5,1,1,1,0,3,1,0,23/08/2015 22:45,0.100853004,0.655404309,1.093094599,0.761299014,0.0632664,1,1,5,1,0,1,5,16,1,2,0,0,2,0,0,1.407545717,2.673917325,0.646246703,1.912618311,0.308015302,0.819523713,2015,SerieA
Sassuolo -- Napoli,0.049975999,0.161341004,1.956949083,0,0,0,0,6,0,0,1,2,12,0,0,0,0,2,0,0,23/08/2015 22:45,0.127608299,0,0.93416811,0,0.105453998,0,0,2,0,1,2,0,11,0,1,0,0,1,0,0,2.168266086,1.167230407,2.168266086,1.167230407,0.211317003,0.233062297,2015,SerieA
