fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
West Ham -- Leicester,0,0.042328499,0.4353985,0,0.035764001,0,1,2,0,0,0,1,8,0,1,0,0,1,0,0,15/08/2015 18:00,0.052309599,0.127927497,1.903362891,0,0,0,1,4,0,0,1,2,7,0,0,0,0,2,0,0,0.513491001,2.083599987,0.513491001,2.083599987,0.078092501,0.180237096,2015,EPL
Crystal Palace -- Arsenal,0,0.268909395,0.659396503,0,0.063464902,0,1,3,0,0,0,3,8,0,1,0,0,1,0,0,16/08/2015 16:30,0,0,2.274090295,0,0.0105041,0,0,6,0,0,0,0,19,0,1,0,0,1,0,0,0.9917708,2.284594394,0.9917708,2.284594394,0.332374297,0.0105041,2015,EPL
Manchester City -- Chelsea,0,0.069106601,1.768481901,0,0.358842999,0,1,7,0,0,0,1,16,0,1,0,1,2,0,0,16/08/2015 19:00,0,0,0.405763596,0,0.080984998,0,0,3,0,0,0,0,8,0,2,0,0,0,0,0,2.196431501,0.486748595,2.196431501,0.486748595,0.4279496,0.080984998,2015,EPL
Liverpool -- Bournemouth,0.0530557,0.546697991,1.541435204,0,0.0543747,0,1,1,0,0,1,2,13,0,2,0,1,0,0,0,17/08/2015 23:00,0,0.109325802,0.351478899,0,0,0,0,2,0,0,0,3,10,0,0,0,0,0,0,0,2.195563596,0.460804701,2.195563596,0.460804701,0.654128391,0.109325802,2015,EPL
Manchester United -- Newcastle United,0.1126756,0.121258996,1.031556604,0,0,1,0,7,0,0,2,1,17,0,0,0,0,0,0,0,22/08/2015 15:45,0,0.135487504,0.1775942,0,0.125319004,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,1.265491201,0.438400708,1.265491201,0.438400708,0.233934596,0.260806508,2015,EPL
Crystal Palace -- Aston Villa,0.0623344,0.093610696,1.012318609,0,0.069803702,0,1,5,0,0,1,1,13,0,2,0,1,1,0,0,22/08/2015 18:00,0,0.0320746,0.685685497,0,0.0475183,0,0,2,0,0,0,1,8,0,2,0,0,0,0,0,1.238067407,0.765278397,1.238067407,0.765278397,0.225748798,0.0795929,2015,EPL
Leicester -- Tottenham,0.079442702,0.314267596,0.399816496,0,0.0443535,0,1,1,0,0,1,2,9,0,1,0,0,1,0,0,22/08/2015 18:00,0,0.2748379,1.619533226,0,0,0,0,6,0,0,0,4,15,0,0,0,0,1,0,0,0.837880295,1.894371126,0.837880295,1.894371126,0.438063798,0.2748379,2015,EPL
Norwich -- Stoke,0.066071898,1.012441011,0.943688122,0,1.126675487,0,2,3,0,2,1,3,13,0,3,0,0,0,0,1,22/08/2015 18:00,0,0,0.130875198,0,0.56735301,0,0,0,0,1,0,0,4,0,2,0,0,0,0,1,3.148876517,0.698228208,3.148876517,0.698228208,2.205188395,0.56735301,2015,EPL
Sunderland -- Swansea,0.172173999,0.0863543,0.194353295,0,0.1181645,0,0,1,0,1,2,1,4,0,3,0,0,1,0,0,22/08/2015 18:00,0,0.341057986,1.13145795,0,0.096404698,0,0,8,0,1,0,1,17,0,2,0,0,1,0,0,0.571046095,1.568920634,0.571046095,1.568920634,0.3766928,0.437462684,2015,EPL
West Ham -- Bournemouth,0,0.057172099,0.704109411,0.761169016,0,0,0,3,1,0,0,2,7,1,0,0,0,2,1,0,22/08/2015 18:00,0,0.0201499,2.074084513,0.761169016,0,0,0,6,1,0,0,1,13,1,0,0,0,3,1,0,1.522450526,2.855403429,0.76128151,2.094234413,0.057172099,0.0201499,2015,EPL
