fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Bayern Munich -- Werder Bremen,0,0.257584799,3.525610201,0.757534027,0,0,1,12,1,0,0,6,20,1,0,0,0,5,1,0,0,0.034339398,0.112544904,0,0.038906898,0,0,1,0,1,0,1,2,0,1,26/08/2016 22:30,0,0,0,0,0,4.540729027,0.1857912,3.783195,0.1857912,0.257584799,0.073246296,2016,Bundesliga
Augsburg -- Wolfsburg,0.040283699,0.051895801,0.344732702,0,0.016458699,0,0,2,0,0,1,1,10,0,1,0,0,0,0,0,0.166435003,0.072108101,0.47255101,0,0,1,0,5,0,0,1,2,9,0,0,27/08/2016 17:30,1,0,1,0,0,0.453370901,0.711094114,0.453370901,0.711094114,0.108638199,0.238543104,2016,Bundesliga
Borussia Dortmund -- Mainz 05,0.063724503,0.410959601,0.538003201,0.757776976,0.0493764,0,1,6,1,0,1,2,11,1,2,0,1,0,1,0,0.0384886,0.0109524,0.993958405,0,0.035448801,0,0,4,0,0,1,1,9,0,1,27/08/2016 17:30,0,0,1,0,0,1.819840681,1.078848206,1.062063705,1.078848206,0.524060505,0.084889801,2016,Bundesliga
Eintracht Frankfurt -- Schalke 04,0,0.1397262,0.901591504,0.757776976,0.0677858,0,0,2,1,1,0,3,6,1,1,0,0,1,0,0,0,0.065408802,0.318200702,0,0.547305828,0,1,1,0,1,0,3,6,0,2,27/08/2016 17:30,0,0,0,0,0,1.866880479,0.930915331,1.109103504,0.930915331,0.207512,0.61271463,2016,Bundesliga
FC Cologne -- Darmstadt,0,0.0816896,3.000141336,0,0.050121401,0,1,6,0,1,0,2,18,0,1,0,0,2,0,0,0.116545498,0.081485599,0.1893338,0,0.171902899,1,0,1,0,1,2,2,4,0,4,27/08/2016 17:30,0,0,0,0,0,3.131952336,0.559267797,3.131952336,0.559267797,0.131811,0.369933996,2016,Bundesliga
Hamburger SV -- Ingolstadt,0,0.0116923,0.235406204,0,0.0626081,0,0,1,0,0,0,1,6,0,1,0,0,1,0,0,0.139486298,0.190349108,0.761239199,0,0.116364304,0,0,5,0,0,2,3,6,0,2,27/08/2016 17:30,0,0,1,0,0,0.309706605,1.207438909,0.309706605,1.207438909,0.074300401,0.44619971,2016,Bundesliga
Borussia M.Gladbach -- Bayer Leverkusen,0.114552703,0.069925601,1.263500184,0,0.472488001,1,1,6,0,1,2,2,7,0,2,0,0,1,0,1,0,0.205492403,0.89482592,0,0.0114672,0,1,5,0,0,0,3,8,0,1,27/08/2016 20:30,0,0,1,0,0,1.920466488,1.111785524,1.920466488,1.111785524,0.656966304,0.216959603,2016,Bundesliga
Hertha Berlin -- Freiburg,0.033737499,0.083698504,0.736147502,0,0.01956,0,0,4,0,1,1,1,12,0,1,0,0,2,0,0,0,0.104167998,0.256554998,0,0,0,1,1,0,0,0,1,7,0,0,28/08/2016 17:30,0,1,0,0,0,0.873143505,0.360722996,0.873143505,0.360722996,0.136996003,0.104167998,2016,Bundesliga
Hoffenheim -- RasenBallsport Leipzig,0.106440403,0.080617897,0.956982298,0,0.0122002,0,1,4,0,0,2,1,7,0,1,0,1,1,0,0,0,0.794204214,1.694612697,0,0.0188771,0,2,7,0,0,0,8,14,0,1,28/08/2016 19:30,0,0,2,0,0,1.156240798,2.507694011,1.156240798,2.507694011,0.1992585,0.813081314,2016,Bundesliga
Schalke 04 -- Bayern Munich,0,0.063605703,0.871989014,0,0.029613901,0,1,1,0,0,0,1,7,0,1,0,0,0,0,0,0.103487302,0.019526601,2.103589699,0,0,0,0,2,0,0,2,1,15,0,0,09/09/2016 22:30,0,0,2,0,0,0.965208618,2.226603601,0.965208618,2.226603601,0.093219604,0.123013902,2016,Bundesliga
