fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Inter -- Genoa,0,0.618319109,1.491494305,0,0.097254597,0,2,6,0,0,0,3,12,0,1,0,1,3,0,0,0.070200801,0,0.86455089,0,0.0324255,0,0,4,0,0,1,0,9,0,1,21/08/2021 16:30,0,0,0,0,0,2.207068011,0.967177192,2.207068011,0.967177192,0.715573706,0.102626301,2021,SerieA
Verona -- Sassuolo,0.065873697,0.145739102,0.985390592,0.761299014,0.293252002,0,0,3,1,0,1,4,7,1,2,0,0,1,1,0,0.100316003,0.049397599,1.71785592,0,0,0,0,7,0,0,1,2,15,0,0,21/08/2021 16:30,0,0,3,0,0,2.251554408,1.867569522,1.490255394,1.867569522,0.504864802,0.149713602,2021,SerieA
Empoli -- Lazio,0,0.199812904,0.93753971,0,0,0,1,2,0,0,0,4,12,0,0,0,0,1,0,0,0,0.477414995,0.510168605,0.761299014,0.032642499,0,1,2,1,0,0,1,5,1,1,21/08/2021 18:45,0,1,1,1,0,1.137352614,1.781525113,1.137352614,1.020226099,0.199812904,0.510057494,2021,SerieA
Torino -- Atalanta,0.103050001,0.0699366,0.652324302,0,0.0416064,0,0,7,0,0,1,2,17,0,1,0,0,1,0,0,0,0.066874698,0.946551211,0,0,0,0,2,0,0,0,1,6,0,0,21/08/2021 18:45,0,0,2,0,0,0.866917303,1.013425909,0.866917303,1.013425909,0.214593001,0.066874698,2021,SerieA
Bologna -- Salernitana,0.257219695,0.866506077,0.567686555,0,0.043951299,0,2,5,0,0,2,4,11,0,1,0,2,1,0,0,0.040575702,0.039177101,0.796055291,0.761299014,0,1,0,2,1,0,1,1,7,1,0,22/08/2021 16:30,0,0,1,1,0,1.735363626,1.637107108,1.735363626,0.875808094,1.167677071,0.079752803,2021,SerieA
Udinese -- Juventus,0,0.120595001,0.723531297,0.761299014,0.480306,0,0,4,1,1,0,1,9,1,1,0,0,1,1,0,0,0.065829702,1.222995602,0,0.204969004,0,0,3,0,0,0,1,8,0,1,22/08/2021 16:30,0,0,2,0,0,2.085731312,1.493794307,1.324432298,1.493794307,0.600901,0.270798706,2021,SerieA
Napoli -- Venezia,0.148839597,0,0.698792592,1.522598028,0.021361999,0,0,3,1,0,3,0,7,2,1,0,0,1,1,0,0,0,0.609879931,0,0,0,0,4,0,0,0,0,8,0,0,22/08/2021 18:45,0,0,0,0,0,2.391592216,0.609879931,0.868994188,0.609879931,0.170201596,0,2021,SerieA
Roma -- Fiorentina,0,0.084583498,2.669556105,0,0,0,0,6,0,0,0,2,9,0,0,0,0,3,0,0,0,0.447227295,0.37474338,0,0.045196601,0,2,5,0,1,0,2,7,0,2,22/08/2021 18:45,0,1,0,0,0,2.754139602,0.867167276,2.754139602,0.867167276,0.084583498,0.492423897,2021,SerieA
Cagliari -- Spezia,0,1.456066493,1.054370906,0.761299014,0.0201125,0,1,5,1,1,0,6,12,1,1,0,0,1,1,0,0.051074501,0.0444826,0.935326678,0,0,0,0,4,0,0,1,1,10,0,0,23/08/2021 16:30,0,0,2,0,0,3.291848913,1.030883779,2.530549899,1.030883779,1.476178993,0.095557101,2021,SerieA
Sampdoria -- AC Milan,0.087880801,0.271660501,0.888028986,0,0,1,1,1,0,0,2,7,8,0,0,0,0,0,0,0,0,0,0.460736593,0,0.346774815,0,0,3,0,1,0,0,7,0,4,23/08/2021 18:45,0,0,1,0,0,1.247570288,0.807511408,1.247570288,0.807511408,0.359541303,0.346774815,2021,SerieA
Udinese -- Venezia,0.037033301,0.093806901,3.010525028,0,0,0,1,9,0,0,1,3,17,0,0,0,0,3,0,0,0,0,0.90892641,0,0,0,0,3,0,0,0,0,11,0,0,27/08/2021 16:30,0,0,0,0,0,3.14136523,0.90892641,3.14136523,0.90892641,0.130840202,0,2021,SerieA
Verona -- Inter,0,0.155557202,0.448441485,0,0,0,0,1,0,0,0,4,4,0,0,0,0,1,0,0,0,0.130874698,1.709305488,0,0,0,1,6,0,0,0,2,13,0,0,27/08/2021 18:45,0,0,3,0,0,0.603998687,1.840180186,0.603998687,1.840180186,0.155557202,0.130874698,2021,SerieA
Atalanta -- Bologna,0.081642799,0.126193797,0.762925098,0,0.018487301,0,0,3,0,0,2,3,16,0,1,0,0,0,0,0,0,0,0.419870105,0,0,0,0,1,0,0,0,0,4,0,0,28/08/2021 16:30,0,0,0,0,0,0.989248995,0.419870105,0.989248995,0.419870105,0.226323897,0,2021,SerieA
Lazio -- Spezia,0.107430398,0.133726001,1.693544999,0.761299014,0.021978,0,1,8,1,0,2,1,13,1,1,0,1,5,0,0,0.0285862,0,0.729364975,0,0,0,0,2,0,0,1,0,4,0,0,28/08/2021 16:30,0,0,1,0,0,2.717978412,0.757951175,1.956679398,0.757951175,0.263134399,0.0285862,2021,SerieA
Fiorentina -- Torino,0,0.0615362,0.459892297,0,0.0185622,0,1,5,0,0,0,1,7,0,1,0,0,2,0,0,0,0.032103501,0.261680905,0,0,0,0,1,0,0,0,1,4,0,0,28/08/2021 18:45,0,0,1,0,0,0.539990697,0.293784406,0.539990697,0.293784406,0.0800984,0.032103501,2021,SerieA
Juventus -- Empoli,0,0.236157501,1.579826606,0,0,0,0,5,0,0,0,6,12,0,0,0,0,0,0,0,0,0.0193487,1.134319225,0,0,0,0,3,0,0,0,1,10,0,0,28/08/2021 18:45,0,0,1,0,0,1.815984108,1.153667925,1.815984108,1.153667925,0.236157501,0.0193487,2021,SerieA
Genoa -- Napoli,0,0,0.319641501,0,0.029528299,0,0,3,0,0,0,0,5,0,1,0,0,1,0,0,0.0349533,0,1.041053521,0,0.078061298,1,0,6,0,1,1,0,11,0,1,29/08/2021 16:30,0,0,1,0,1,0.3491698,1.154068119,0.3491698,1.154068119,0.029528299,0.113014597,2021,SerieA
Sassuolo -- Sampdoria,0.062653601,0.104280399,1.066050386,0,0,0,2,3,0,0,1,3,15,0,0,0,0,0,0,0,0.049198002,0.050643899,0.477233497,0,0,0,1,1,0,0,1,1,9,0,0,29/08/2021 16:30,0,0,0,0,0,1.232984386,0.577075398,1.232984386,0.577075398,0.166934,0.0998419,2021,SerieA
AC Milan -- Cagliari,0.056611899,0.097990001,1.57704772,0.761299014,0.178742297,1,0,2,1,1,1,3,11,1,2,1,0,2,1,0,0.045135502,0.191185702,0.170387801,0,0,1,0,1,0,0,1,3,3,0,0,29/08/2021 18:45,0,0,1,0,0,2.671690931,0.406709004,1.910391917,0.406709004,0.333344197,0.236321203,2021,SerieA
Salernitana -- Roma,0,0,0.209103893,0,0.0122946,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0.188593803,1.699517087,0,0,0,1,8,0,0,0,5,23,0,0,29/08/2021 18:45,0,0,4,0,0,0.221398493,1.88811089,0.221398493,1.88811089,0.0122946,0.188593803,2021,SerieA
Empoli -- Venezia,0.110586297,0.241323691,0.746451408,0.761299014,0.025706099,0,1,4,1,0,2,3,15,1,1,0,0,0,1,0,0,0.389194995,2.041989148,0,0,0,0,3,0,0,0,1,9,0,0,11/09/2021 13:00,0,0,2,0,0,1.885366509,2.431184143,1.124067495,2.431184143,0.377616087,0.389194995,2021,SerieA
Napoli -- Juventus,0.045391802,0.989819611,1.153298491,0,0.0126206,0,2,4,0,0,1,6,17,0,1,0,1,1,0,0,0,0,1.634406209,0,0,0,0,4,0,0,0,0,8,0,0,11/09/2021 16:00,0,0,1,0,0,2.201130504,1.634406209,2.201130504,1.634406209,1.047832013,0,2021,SerieA
