fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Roma -- Udinese,0,0.689863205,3.505330577,1.522598028,0.528663993,0,2,5,2,0,0,4,18,2,1,0,1,1,2,0,20/08/2016 20:00,0,0.0348724,0.482283804,0,0,0,0,1,0,0,0,2,9,0,0,0,0,0,0,0,6.246455803,0.517156203,4.723857774,0.517156203,1.218527198,0.0348724,2016,SerieA
Juventus -- Fiorentina,0.052504901,0.0259564,1.541009105,0,0,0,0,4,0,0,1,1,17,0,0,0,0,2,0,0,20/08/2016 22:45,0,0.117259003,0.091756303,0,0.0351822,0,1,0,0,0,0,1,2,0,1,0,1,0,0,0,1.619470405,0.244197506,1.619470405,0.244197506,0.078461301,0.152441204,2016,SerieA
AC Milan -- Torino,0,0.015833899,1.818163799,0.761299014,0,0,0,4,1,0,0,1,9,1,0,0,0,2,1,0,21/08/2016 20:00,0.11118,0.2232383,0.651086342,0.761299014,0,0,0,3,1,0,1,5,14,1,0,0,0,2,0,0,2.595296713,1.746803655,1.833997699,0.985504641,0.015833899,0.3344183,2016,SerieA
Atalanta -- Lazio,0.046603501,0.098654002,1.429865767,0,0,0,1,4,0,0,1,3,14,0,0,0,1,2,0,0,21/08/2016 22:45,0,0,1.909605434,0,0.040398099,0,0,5,0,1,0,0,10,0,1,0,0,3,0,1,1.57512327,1.950003533,1.57512327,1.950003533,0.145257503,0.040398099,2016,SerieA
Bologna -- Crotone,0,0.443032293,1.292316302,0,0,0,1,5,0,0,0,4,16,0,0,0,0,1,0,0,21/08/2016 22:45,0,0.096589297,0.287791301,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1.735348594,0.384380598,1.735348594,0.384380598,0.443032293,0.096589297,2016,SerieA
Chievo -- Inter,0.049001899,0.0115621,0.692284414,0,0.0252349,0,0,3,0,1,1,1,9,0,1,0,0,2,0,0,21/08/2016 22:45,0.0515319,0.7145587,0.1393064,0,0.142366007,0,2,1,0,0,1,6,5,0,1,0,0,0,0,0,0.778083312,1.047763007,0.778083312,1.047763007,0.085798899,0.908456607,2016,SerieA
Empoli -- Sampdoria,0,0,0.866964817,0,0.0678564,0,0,2,0,1,0,0,6,0,2,0,0,0,0,0,21/08/2016 22:45,0.0407685,0.026327201,0.979363098,0,0,0,0,5,0,0,1,2,13,0,0,0,0,1,0,0,0.934821217,1.046458799,0.934821217,1.046458799,0.0678564,0.067095702,2016,SerieA
Genoa -- Cagliari,0.055209,0.105902098,1.365553111,0,0,0,0,6,0,0,1,3,18,0,0,0,0,3,0,0,21/08/2016 22:45,0.0516156,0,0.860929981,0,0,1,0,2,0,0,1,0,3,0,0,0,0,1,0,0,1.526664209,0.91254558,1.526664209,0.91254558,0.161111098,0.0516156,2016,SerieA
Palermo -- Sassuolo,0,0,0.284747096,0,0.066471301,0,0,1,0,1,0,0,6,0,1,0,0,0,0,0,21/08/2016 22:45,0.069945402,0.095044499,0.738749396,0.761299014,0.0176761,0,0,7,1,0,1,4,15,1,1,0,0,0,1,0,0.351218397,1.682714412,0.351218397,0.921415398,0.066471301,0.182666002,2016,SerieA
Pescara -- Napoli,0,0,1.082961171,0,0,0,0,3,0,0,0,0,9,0,0,0,0,2,0,0,21/08/2016 22:45,0.083753999,0.122473399,1.210928385,0,0,0,0,4,0,0,2,3,17,0,0,0,0,2,0,0,1.082961171,1.417155784,1.082961171,1.417155784,0,0.206227398,2016,SerieA
