fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Juventus -- Cagliari,0.106454298,0.033193201,1.132364994,0,0,1,1,5,0,0,2,1,14,0,0,0,0,3,0,0,19/08/2017 17:00,0,0,0.669796497,0.761299014,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,1.272012493,1.431095511,1.272012493,0.669796497,0.139647499,0,2017,SerieA
Verona -- Napoli,0,0.368829012,0.206920571,0.761299014,0.058234699,0,0,3,1,0,0,4,7,1,1,0,0,0,1,0,19/08/2017 19:45,0.093086503,0.455282986,2.238747995,0,0,0,0,11,0,0,2,1,19,0,0,0,0,2,0,0,1.395283296,2.787117485,0.633984282,2.787117485,0.427063711,0.54836949,2017,SerieA
Atalanta -- Roma,0.084443703,0.083889797,1.285728093,0,0.032598201,1,0,5,0,0,1,1,13,0,1,0,0,0,0,0,20/08/2017 17:00,0.078649499,0,0.1745103,0,0.109196998,1,0,0,0,0,1,0,4,0,1,1,0,0,0,0,1.486659795,0.362356797,1.486659795,0.362356797,0.200931702,0.187846497,2017,SerieA
Bologna -- Torino,0,0,0.568427498,0,0,0,0,3,0,0,0,0,13,0,0,0,0,1,0,0,20/08/2017 19:45,0.105729502,0,0.1942963,0,0.0144459,1,0,2,0,0,2,0,6,0,1,0,0,1,0,0,0.568427498,0.314471702,0.568427498,0.314471702,0,0.120175402,2017,SerieA
Crotone -- AC Milan,0.096913002,0.025533,0.089869902,0,0.090551101,1,0,1,0,0,1,1,2,0,2,0,0,0,0,0,20/08/2017 19:45,0.092891701,0.042738901,1.195167186,0.761299014,0,1,1,7,1,0,2,2,14,1,0,0,0,2,1,0,0.302867005,2.092096802,0.302867005,1.330797788,0.212997103,0.135630602,2017,SerieA
Inter -- Fiorentina,0,0.053108491,1.900129506,0.761299014,0,0,0,5,1,0,0,2,13,1,0,0,0,2,1,0,20/08/2017 19:45,0.049483702,0.078171698,0.284315281,0,0,0,0,3,0,0,1,2,12,0,0,0,0,0,0,0,2.714537011,0.411970681,1.953237997,0.411970681,0.053108491,0.1276554,2017,SerieA
Lazio -- SPAL 2013,0.036442,0.0343976,0.687086554,0,0,0,1,9,0,0,1,2,19,0,0,0,0,0,0,0,20/08/2017 19:45,0,0.387163412,0.238558696,0,0,0,0,2,0,0,0,3,6,0,0,0,0,0,0,0,0.757926155,0.625722107,0.757926155,0.625722107,0.070839601,0.387163412,2017,SerieA
Sampdoria -- Benevento,0.051990598,1.854889792,1.069189498,0,0.0150585,0,3,3,0,0,1,5,9,0,1,0,1,1,0,0,20/08/2017 19:45,0.036788099,0.461560011,0.555745391,0,0,1,0,6,0,0,1,1,16,0,0,0,0,1,0,0,2.991128389,1.054093501,2.991128389,1.054093501,1.921938891,0.498348109,2017,SerieA
Sassuolo -- Genoa,0.039152302,0.027395,0.290557604,0,0.091731263,0,0,3,0,0,1,2,8,0,3,0,0,0,0,0,20/08/2017 19:45,0,0,0.872878632,0,0.100493997,0,0,4,0,0,0,0,11,0,1,0,0,0,0,0,0.448836169,0.973372629,0.448836169,0.973372629,0.158278564,0.100493997,2017,SerieA
Udinese -- Chievo,0.054707401,0.101764699,0.531855799,0,0.03886551,0,1,3,0,1,1,3,12,0,2,0,0,1,0,0,20/08/2017 19:45,0,0.045884799,0.376981601,0,0,0,1,2,0,0,0,1,9,0,0,0,1,1,0,0,0.72719341,0.4228664,0.72719341,0.4228664,0.19533761,0.045884799,2017,SerieA
Benevento -- Bologna,0.049729999,0.245127301,0.498220603,0,0.00771351,1,1,4,0,0,1,4,12,0,1,0,0,0,0,0,26/08/2017 17:00,0.106889598,0.873803832,0.815058481,0,0,1,0,3,0,0,2,2,10,0,0,0,0,1,0,0,0.800791413,1.795751911,0.800791413,1.795751911,0.30257081,0.98069343,2017,SerieA
Genoa -- Juventus,0,0,0.451933406,0.761299014,0,0,0,2,1,0,0,0,8,1,0,0,0,0,1,0,26/08/2017 17:00,0.095836103,0.0130349,1.272403194,0.761299014,0,0,0,6,1,0,2,1,14,1,0,0,0,3,1,0,1.21323242,2.14257321,0.451933406,1.381274196,0,0.108871003,2017,SerieA
Roma -- Inter,0.055881601,0,1.292542421,0,0,0,0,2,0,0,1,0,17,0,0,0,0,1,0,0,26/08/2017 19:45,0.062983401,0,2.734549396,0,0,0,0,8,0,0,1,0,13,0,0,0,0,3,0,0,1.348424022,2.797532797,1.348424022,2.797532797,0.055881601,0.062983401,2017,SerieA
Torino -- Sassuolo,0.068623602,0.059111901,1.034646602,0,0.095188603,0,0,5,0,0,1,2,10,0,1,0,0,3,0,0,27/08/2017 17:00,0,0.265424302,0.558390299,0,0,0,0,2,0,0,0,2,17,0,0,0,0,0,0,0,1.257570708,0.823814601,1.257570708,0.823814601,0.222924106,0.265424302,2017,SerieA
AC Milan -- Cagliari,0.0611564,0.0616704,1.298309552,0,0,1,1,3,0,0,1,1,13,0,0,1,0,1,0,0,27/08/2017 19:45,0,0.132647499,0.338967497,0,0.087707438,0,0,4,0,0,0,2,9,0,3,0,0,1,0,0,1.421136352,0.559322434,1.421136352,0.559322434,0.1228268,0.220354937,2017,SerieA
Chievo -- Lazio,0,0.0367623,0.691909194,0,0.0434223,0,0,3,0,1,0,2,10,0,1,0,0,1,0,0,27/08/2017 19:45,0,0.608312774,0.758108997,0,0,0,1,2,0,0,0,2,11,0,0,0,1,1,0,0,0.772093794,1.366421771,0.772093794,1.366421771,0.0801846,0.608312774,2017,SerieA
