fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Angers -- Nantes,0.0,0.0,0.22296909894794226,0.0,0.1687823012471199,0,0,2,0,1,0,0,8,0,2,0,0,0,0,0,2015-08-15 22:00:00,0.0,0.0,0.1662207990884781,0.0,0.0,0,0,1,0,0,0,0,2,0,0,2015-08-15 22:00:00,0,0,0,0,0,0.39175140019506216,0.1662207990884781,0.39175140019506216,0.1662207990884781,0.1687823012471199,0.0,2015,Ligue1
Caen -- Toulouse,0.0,0.5475680232048035,0.949464688077569,0.0,0.038808900862932205,0,0,2,0,1,0,1,7,0,1,0,0,0,0,1,2015-08-15 22:00:00,0.0,0.16708139702677727,0.8522752057760954,0.0,0.1100969985127449,0,0,4,0,0,0,3,9,0,1,2015-08-15 22:00:00,0,0,0,0,0,1.5358416121453047,1.1294536013156176,1.5358416121453047,1.1294536013156176,0.5863769240677357,0.27717839553952217,2015,Ligue1
Guingamp -- Lyon,0.0,0.31846299581229687,0.5641503920778632,0.0,0.1702674999833107,0,1,1,0,0,0,2,7,0,2,0,0,0,0,0,2015-08-15 22:00:00,0.12215759977698326,0.0,0.5166131872683764,0.0,0.09927680157124996,1,0,2,0,0,3,0,6,0,2,2015-08-15 22:00:00,0,0,1,0,0,1.0528808878734708,0.7380475886166096,1.0528808878734708,0.7380475886166096,0.48873049579560757,0.22143440134823322,2015,Ligue1
Rennes -- Montpellier,0.05701889842748642,0.026151299476623535,0.6357343066483736,0.0,0.0,0,0,2,0,0,1,1,8,0,0,0,0,1,0,0,2015-08-15 22:00:00,0.0,0.012811600230634212,0.14819400198757648,0.0,0.0,0,0,0,0,0,0,1,3,0,0,2015-08-15 22:00:00,0,0,0,0,0,0.7189045045524836,0.1610056022182107,0.7189045045524836,0.1610056022182107,0.08317019790410995,0.012811600230634212,2015,Ligue1
Troyes -- Nice,0.0927141010761261,0.0,0.2575356848537922,0.0,0.9162599742412567,1,0,4,0,1,2,0,6,0,2,0,0,2,0,1,2015-08-15 22:00:00,0.0,0.8633509799838066,0.6382337976247072,0.7600950002670288,0.0,0,2,3,1,0,0,4,11,1,0,2015-08-15 22:00:00,0,1,1,1,0,1.266509760171175,2.2616797778755426,1.266509760171175,1.5015847776085138,1.0089740753173828,0.8633509799838066,2015,Ligue1
Reims -- Marseille,0.12780149653553963,0.1410802025347948,0.6724039111286402,0.0,0.0,2,2,1,0,0,2,3,10,0,0,0,1,0,0,0,2015-08-16 16:00:00,0.04559339955449104,0.019630899652838707,0.32102390192449093,0.0,0.012504699639976025,0,1,3,0,0,1,1,10,0,1,2015-08-16 16:00:00,0,0,0,0,0,0.9412856101989746,0.3987529007717967,0.9412856101989746,0.3987529007717967,0.26888169907033443,0.07772899884730577,2015,Ligue1
Lorient -- SC Bastia,0.05331819877028465,0.0,0.9036634983494878,0.7600950002670288,0.0,0,0,3,1,0,1,0,10,1,0,0,0,0,1,0,2015-08-16 19:00:00,0.0,0.0,1.3649223055690527,0.0,0.0,0,0,2,0,0,0,0,7,0,0,2015-08-16 19:00:00,0,0,1,0,0,1.7170766973868012,1.3649223055690527,0.9569816971197724,1.3649223055690527,0.05331819877028465,0.0,2015,Ligue1
Paris Saint Germain -- GFC Ajaccio,0.037411898374557495,0.3729529045522213,0.612178610637784,0.0,0.5721478015184402,1,1,2,0,2,1,3,10,0,4,0,1,1,0,0,2015-08-16 23:00:00,0.0,0.026437299326062202,0.12370589096099138,0.0,0.0,0,0,2,0,0,0,1,7,0,0,2015-08-16 23:00:00,0,0,0,0,0,1.594691215083003,0.15014319028705359,1.594691215083003,0.15014319028705359,0.982512604445219,0.026437299326062202,2015,Ligue1
Montpellier -- Paris Saint Germain,0.0,0.06878069788217545,0.20464099757373333,0.0,0.09947081282734871,0,0,2,0,1,0,1,7,0,2,0,0,0,0,0,2015-08-21 22:30:00,0.048150498420000076,0.0,0.707577096298337,0.0,0.0,1,0,4,0,0,1,0,8,0,0,2015-08-21 22:30:00,0,0,1,0,0,0.3728925082832575,0.7557275947183371,0.3728925082832575,0.7557275947183371,0.16825151070952415,0.048150498420000076,2015,Ligue1
Lyon -- Rennes,0.08217959851026535,0.08928300067782402,0.5593434041365981,0.0,0.0,0,0,4,0,0,1,5,9,0,0,0,0,1,0,0,2015-08-22 19:00:00,0.14370380342006683,0.0,0.28010669723153114,0.0,0.0,1,0,2,0,0,2,0,4,0,0,2015-08-22 19:00:00,0,0,2,0,0,0.7308060033246875,0.423810500651598,0.7308060033246875,0.423810500651598,0.17146259918808937,0.14370380342006683,2015,Ligue1
