fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Monaco -- Nantes,0.182738997,0.751859637,0.841027206,0,0,0,1,1,0,0,2,8,5,0,0,0,0,1,0,0,0,0.145016696,0.00817513,0,0.086523199,0,1,0,0,0,0,2,1,0,2,06/08/2021 19:00,0,1,0,0,0,1.77562584,0.239715026,1.77562584,0.239715026,0.934598634,0.231539896,2021,Ligue1
Lyon -- Brest,0,0.1347697,0.97388581,0,0.0665551,0,0,4,0,0,0,4,11,0,2,0,0,1,0,0,0,0.196241705,0.807249768,0,0.0161658,0,1,5,0,1,0,3,9,0,1,07/08/2021 15:00,0,0,1,0,0,1.17521061,1.019657273,1.17521061,1.019657273,0.2013248,0.212407505,2021,Ligue1
Troyes -- Paris Saint Germain,0,0.186697398,0.293212597,0,0.138263103,0,2,4,0,1,0,6,7,0,2,0,1,0,0,0,0,0,1.486504709,0,0,0,0,2,0,0,0,0,12,0,0,07/08/2021 19:00,0,0,2,0,0,0.618173098,1.486504709,0.618173098,1.486504709,0.324960501,0,2021,Ligue1
Rennes -- Lens,0.148257002,0,0.450165499,0,0,0,0,2,0,0,1,0,9,0,0,0,0,1,0,0,0,0.061281398,1.028066687,0,1.047017038,0,0,4,0,2,0,3,6,0,2,08/08/2021 11:00,0,0,1,0,0,0.598422501,2.136365123,0.598422501,2.136365123,0.148257002,1.108298436,2021,Ligue1
Bordeaux -- Clermont Foot,0,0.069900103,0.429588718,0,0.0110535,0,1,4,0,1,0,2,7,0,1,0,0,0,0,0,0,0.407913396,2.563886367,0,0,0,1,9,0,0,0,4,15,0,0,08/08/2021 13:00,0,0,2,0,0,0.510542321,2.971799763,0.510542321,2.971799763,0.080953603,0.407913396,2021,Ligue1
Nice -- Reims,0,0.134436101,0.553027203,0,0.412007004,0,1,0,0,1,0,2,9,0,1,0,0,0,0,0,0,0.0210787,0.1373675,0,0,0,0,0,0,0,0,1,4,0,0,08/08/2021 13:00,0,0,0,0,0,1.099470308,0.1584462,1.099470308,0.1584462,0.546443105,0.0210787,2021,Ligue1
Saint-Etienne -- Lorient,0,0.446873696,0.650998069,0.760095,0,0,0,2,1,0,0,2,17,1,0,0,0,0,1,0,0,0.385565009,0.427123899,0,0.023291901,0,0,3,0,0,0,2,9,0,1,08/08/2021 13:00,0,0,1,0,0,1.857966764,0.835980808,1.097871764,0.835980808,0.446873696,0.40885691,2021,Ligue1
Strasbourg -- Angers,0,0.018669499,0.248341499,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0.461711198,0.954454824,0,0,0,1,1,0,0,0,3,6,0,0,08/08/2021 13:00,0,1,1,0,0,0.267010998,1.416166022,0.267010998,1.416166022,0.018669499,0.461711198,2021,Ligue1
Metz -- Lille,0,0,1.020622083,0,0,0,0,5,0,0,0,0,12,0,0,0,0,3,0,0,0,0.522466514,0.974613199,0,0.125373006,0,2,5,0,0,0,3,14,0,1,08/08/2021 15:00,0,1,2,0,0,1.020622083,1.622452719,1.020622083,1.622452719,0,0.64783952,2021,Ligue1
Montpellier -- Marseille,0,0.034940898,0.729785105,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0.161625899,0.332657009,1.667304589,0,0,2,0,5,0,0,2,1,19,0,0,08/08/2021 18:45,1,0,2,0,0,0.764726004,2.161587498,0.764726004,2.161587498,0.034940898,0.494282909,2021,Ligue1
Lorient -- Monaco,0,0,0.0193635,0.760095,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0.138186502,0.304535893,0,0.423442986,0,0,2,0,1,0,3,6,0,3,13/08/2021 19:00,0,0,0,0,0,0.7794585,0.866165381,0.0193635,0.866165381,0,0.561629488,2021,Ligue1
Lille -- Nice,0.075794697,0.254059095,0.438718904,0,0,0,0,2,0,0,1,5,5,0,0,0,0,0,0,0,0,1.471591864,0.390743107,0.760095,0,0,4,2,1,0,0,5,5,1,0,14/08/2021 15:00,0,2,1,1,0,0.768572696,2.622429971,0.768572696,1.86233497,0.329853792,1.471591864,2021,Ligue1
Paris Saint Germain -- Strasbourg,0.0442679,0.0648295,2.791225813,0,0,0,1,5,0,0,1,3,7,0,0,0,1,3,0,0,0,0.037536301,0.532522501,0,0,0,0,2,0,0,0,2,6,0,0,14/08/2021 19:00,0,0,2,0,0,2.900323214,0.570058802,2.900323214,0.570058802,0.109097401,0.037536301,2021,Ligue1
Angers -- Lyon,0.046581499,0,0.836107996,0,0.759114027,0,0,5,0,1,1,0,11,0,1,0,0,2,0,0,0,0.091600999,0.885523291,0,0,0,1,2,0,0,0,1,8,0,0,15/08/2021 11:00,0,0,0,0,0,1.641803523,0.977124291,1.641803523,0.977124291,0.805695526,0.091600999,2021,Ligue1
Brest -- Rennes,0,0.104061298,2.195037114,0,0,0,0,5,0,0,0,2,8,0,0,0,0,1,0,0,0,0,1.140973303,0,0.180551603,0,0,2,0,0,0,0,4,0,2,15/08/2021 13:00,0,0,1,0,0,2.299098412,1.321524907,2.299098412,1.321524907,0.104061298,0.180551603,2021,Ligue1
Clermont Foot -- Troyes,0.084134899,0.304060994,1.043268003,0,0.0122009,0,2,6,0,0,2,4,11,0,1,0,2,0,0,0,0,0,0.696004781,0,0,0,0,1,0,0,0,0,6,0,0,15/08/2021 13:00,0,0,0,0,0,1.443664796,0.696004781,1.443664796,0.696004781,0.400396793,0,2021,Ligue1
Nantes -- Metz,0,0.137654398,1.584445974,0,0,0,0,6,0,0,0,2,9,0,0,0,0,2,0,0,0,0.028699201,0.823505902,0,0.0591533,0,0,4,0,1,0,2,6,0,2,15/08/2021 13:00,0,0,0,0,0,1.722100371,0.911358402,1.722100371,0.911358402,0.137654398,0.0878525,2021,Ligue1
