fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Bayern Munich -- Hoffenheim,0,0.582217403,1.673775909,0.757695973,0.075145297,0,1,3,1,0,0,2,12,1,1,0,1,1,1,0,0,0,0.697274202,0,0,0,0,5,0,0,0,0,8,0,0,24/08/2018 21:30,0,0,1,0,0,3.088834582,0.697274202,2.331138609,0.697274202,0.6573627,0,2018,Bundesliga
Fortuna Duesseldorf -- Augsburg,0,0.119316097,1.208514102,0,0,0,0,5,0,0,0,2,7,0,0,0,0,1,0,0,0,0.167607,0.550533202,0,0.0384036,0,1,4,0,1,0,3,10,0,1,25/08/2018 16:30,0,1,0,0,1,1.327830199,0.756543803,1.327830199,0.756543803,0.119316097,0.206010601,2018,Bundesliga
Freiburg -- Eintracht Frankfurt,0.138692698,0.0124357,1.191250574,0,0.1263476,1,0,5,0,0,3,1,16,0,2,0,0,0,0,0,0,0.054409999,0.759739504,0,0,0,0,2,0,0,0,1,9,0,0,25/08/2018 16:30,0,0,2,0,0,1.468726571,0.814149504,1.468726571,0.814149504,0.277475997,0.054409999,2018,Bundesliga
Hertha Berlin -- Nuernberg,0,0.193074601,0.800885467,0,0.039133299,0,0,2,0,1,0,5,4,0,1,0,0,1,0,0,0,0.087274302,0.477618804,0.757776976,0.02144953,0,0,2,1,0,0,2,7,1,2,25/08/2018 16:30,0,0,0,0,0,1.033093367,1.344119611,1.033093367,0.586342636,0.2322079,0.108723831,2018,Bundesliga
Werder Bremen -- Hannover 96,0,0.1094166,1.721727606,0,0.0808293,0,0,3,0,0,0,2,12,0,1,0,0,1,0,0,0,0.125615001,0.707167999,0,0.00734357,0,0,3,0,1,0,1,11,0,1,25/08/2018 16:30,0,0,1,0,0,1.911973506,0.840126569,1.911973506,0.840126569,0.1902459,0.13295857,2018,Bundesliga
Wolfsburg -- Schalke 04,0.041499902,0.458519995,0.925392927,0,0,1,1,5,0,0,1,1,8,0,0,0,1,1,0,0,0.218262903,0,0.850212716,0.757776976,0.035285398,0,0,3,1,0,2,0,5,1,1,25/08/2018 16:30,0,0,0,1,0,1.425412823,1.861537993,1.425412823,1.103761017,0.500019897,0.253548302,2018,Bundesliga
Borussia M.Gladbach -- Bayer Leverkusen,0,0.062863,1.800636783,1.515553951,0,0,0,5,2,0,0,1,15,2,0,0,0,1,1,0,0,0.136859,0.920889412,0,0,0,0,3,0,0,0,2,12,0,0,25/08/2018 19:30,0,0,0,0,0,3.379053734,1.057748412,1.863499783,1.057748412,0.062863,0.136859,2018,Bundesliga
Mainz 05 -- VfB Stuttgart,0.0503527,0.1149453,1.12420455,0,0,1,0,2,0,0,1,2,7,0,0,0,0,1,0,0,0,0.106890999,0.971574605,0,0,0,0,3,0,0,0,1,11,0,0,26/08/2018 16:30,0,0,0,0,0,1.28950255,1.078465603,1.28950255,1.078465603,0.165298,0.106890999,2018,Bundesliga
Borussia Dortmund -- RasenBallsport Leipzig,0,0.820247103,1.282777106,0,0,0,2,3,0,0,0,3,7,0,0,0,1,2,0,0,0.0379944,0,1.424689235,0,0,1,0,6,0,0,1,0,10,0,1,26/08/2018 19:00,0,0,1,0,0,2.103024209,1.462683635,2.103024209,1.462683635,0.820247103,0.0379944,2018,Bundesliga
Hannover 96 -- Borussia Dortmund,0,0.130288698,0.331743995,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0.700935773,0,0.141575373,0,0,2,0,1,0,0,6,0,3,31/08/2018 21:30,0,0,0,0,0,0.462032693,0.842511145,0.462032693,0.842511145,0.130288698,0.141575373,2018,Bundesliga
