fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Eintracht Frankfurt -- Bayern Munich,0,0.1147909,0.643547899,0,0,0,0,2,0,0,0,2,6,0,0,0,0,1,0,0,0.029861299,0.241390198,4.500917351,0,0,1,1,8,0,0,1,3,19,0,0,05/08/2022 18:30,1,1,4,0,0,0.758338799,4.772168849,0.758338799,4.772168849,0.1147909,0.271251498,2022,Bundesliga
Augsburg -- Freiburg,0.051042099,0,0.534863394,0,0,0,0,2,0,0,1,0,10,0,0,0,0,0,0,0,0.043339301,0.096821398,1.333327609,0,0.069061399,1,1,4,0,1,1,3,14,0,1,06/08/2022 13:30,1,0,2,0,1,0.585905492,1.542549706,0.585905492,1.542549706,0.051042099,0.209222097,2022,Bundesliga
Bochum -- Mainz 05,0.116694797,0,0.349095145,0,0.353578797,1,0,2,0,0,2,0,11,0,2,0,0,1,0,0,0.068924703,0.219889302,1.346809907,0,0,0,2,4,0,0,1,3,9,0,0,06/08/2022 13:30,0,1,1,0,0,0.819368739,1.635623911,0.819368739,1.635623911,0.470273593,0.288814005,2022,Bundesliga
Borussia M.Gladbach -- Hoffenheim,0.098630801,0.376669101,1.538840191,0,0.060417201,0,2,5,0,0,1,3,13,0,1,0,2,1,0,0,0,0,0.119137299,0,0,0,0,1,0,0,0,0,2,0,0,06/08/2022 13:30,0,0,1,0,0,2.074557295,0.119137299,2.074557295,0.119137299,0.535717104,0,2022,Bundesliga
Union Berlin -- Hertha Berlin,0,0.0127838,1.158536889,0,0.0113139,0,1,7,0,0,0,1,17,0,1,0,1,2,0,0,0.072612099,0.087530101,0.191991797,0,0,1,0,2,0,0,1,2,4,0,0,06/08/2022 13:30,0,0,1,0,0,1.182634589,0.352133997,1.182634589,0.352133997,0.024097701,0.1601422,2022,Bundesliga
Wolfsburg -- Werder Bremen,0,0.101842701,0.827946814,0,0.0251198,0,1,2,0,0,0,2,7,0,2,0,1,1,0,0,0,0,1.042278285,0,0,0,0,4,0,0,0,0,10,0,0,06/08/2022 13:30,0,0,2,0,0,0.954909315,1.042278285,0.954909315,1.042278285,0.126962502,0,2022,Bundesliga
Borussia Dortmund -- Bayer Leverkusen,0.132101998,0.1304317,2.148734502,0,0,0,0,4,0,0,1,2,12,0,0,0,0,1,0,0,0,0,1.111874396,0,0.123781003,0,0,3,0,0,0,0,7,0,1,06/08/2022 16:30,0,0,0,0,0,2.411268201,1.235655399,2.411268201,1.235655399,0.262533698,0.123781003,2022,Bundesliga
VfB Stuttgart -- RasenBallsport Leipzig,0,0.132451996,0.367103099,0,0.0659329,0,0,2,0,0,0,1,9,0,1,0,0,1,0,0,0,0.653038589,1.489677018,0,0.067245699,0,3,6,0,0,0,6,20,0,1,07/08/2022 13:30,0,0,1,0,0,0.565487995,2.209961307,0.565487995,2.209961307,0.198384896,0.720284289,2022,Bundesliga
FC Cologne -- Schalke 04,0,1.458642725,3.092737176,0,0,0,2,8,0,0,0,7,25,0,0,0,1,2,0,0,0,0,0.1758679,0,0.051867101,0,0,1,0,1,0,0,4,0,1,07/08/2022 15:30,0,0,0,0,1,4.551379901,0.227735002,4.551379901,0.227735002,1.458642725,0.051867101,2022,Bundesliga
Freiburg -- Borussia Dortmund,0.0484997,0.069166001,0.9654317,0,0,1,0,6,0,0,1,2,13,0,0,0,0,1,0,0,0.034288298,0.108491004,0.638750706,0,0,0,0,6,0,0,1,1,11,0,0,12/08/2022 18:30,0,0,3,0,0,1.083097401,0.781530008,1.083097401,0.781530008,0.117665701,0.142779302,2022,Bundesliga
Bayer Leverkusen -- Augsburg,0.049442802,0.468489695,2.270351513,0,0,0,1,9,0,0,1,3,20,0,0,0,0,1,0,0,0,0,0.749162909,0,0,0,0,4,0,0,0,0,6,0,0,13/08/2022 13:30,0,0,2,0,0,2.78828401,0.749162909,2.78828401,0.749162909,0.517932497,0,2022,Bundesliga
Hertha Berlin -- Eintracht Frankfurt,0,0.0182955,2.046678627,0,0,0,0,5,0,0,0,1,11,0,0,0,0,1,0,0,0,0.0180628,1.152005101,0,0.034142699,0,0,1,0,0,0,1,9,0,1,13/08/2022 13:30,0,0,1,0,0,2.064974127,1.2042106,2.064974127,1.2042106,0.0182955,0.052205499,2022,Bundesliga
Hoffenheim -- Bochum,0.053725399,0.199432402,1.419791626,0.757776976,0,1,3,7,1,0,1,5,16,1,0,0,2,1,0,0,0.043566499,0,1.430810471,0,0,0,0,5,0,0,1,0,10,0,0,13/08/2022 13:30,0,0,2,0,0,2.430726402,1.47437697,1.672949427,1.47437697,0.253157801,0.043566499,2022,Bundesliga
