fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Marseille -- Toulouse,0.086132802,0.090122003,2.490421006,0.760095,0.071893121,1,1,7,1,0,2,3,14,1,3,0,0,3,1,0,0,0,0.19732391,0,0.036833499,0,0,1,0,0,0,0,4,0,1,10/08/2018 21:45,0,0,0,0,0,3.498663933,0.234157409,2.738568933,0.234157409,0.248147926,0.036833499,2018,Ligue1
Nantes -- Monaco,0,0.108893803,1.069676704,0,0.0423299,0,0,4,0,0,0,2,13,0,1,0,0,1,0,0,0.0472112,0.0924531,2.701630881,0,0,1,1,4,0,0,1,1,9,0,0,11/08/2018 18:00,0,0,3,0,0,1.220900407,2.841295181,1.220900407,2.841295181,0.151223703,0.1396643,2018,Ligue1
Angers -- Nimes,0.070414402,0.979157001,1.534386179,0,0.042748399,1,2,4,0,0,1,3,15,0,2,0,1,2,0,0,0.104016997,0.056972999,1.044803977,0,0.00796503,0,0,5,0,0,1,1,11,0,1,11/08/2018 21:00,0,0,4,0,0,2.626705981,1.213759004,2.626705981,1.213759004,1.092319801,0.168955026,2018,Ligue1
Lille -- Rennes,0.044102699,0.330026001,1.487233598,0,0.0202787,0,0,6,0,0,1,1,12,0,1,0,0,3,0,0,0.039331499,0.0277745,0.347471492,0,0.0328805,1,0,1,0,0,1,1,5,0,1,11/08/2018 21:00,0,0,1,0,0,1.881640997,0.447457992,1.881640997,0.447457992,0.394407399,0.099986499,2018,Ligue1
Montpellier -- Dijon,0.057736501,0.126537602,0.807899201,0,0.348585993,2,0,4,0,1,2,2,12,0,1,0,0,0,0,1,0.066479199,0.054840501,0.945253888,0.760095,0.506471992,0,1,2,1,0,1,1,5,1,1,11/08/2018 21:00,0,1,1,0,0,1.340759298,2.33314058,1.340759298,1.57304558,0.532860097,0.627791692,2018,Ligue1
Nice -- Reims,0.126395002,0.242087401,0.623757031,0,0.046697501,0,0,1,0,0,2,4,12,0,1,0,0,0,0,0,0,0.060038101,0.207381498,0,0,0,0,3,0,0,0,1,4,0,0,11/08/2018 21:00,0,0,1,0,0,1.038936935,0.267419599,1.038936935,0.267419599,0.415179905,0.060038101,2018,Ligue1
Saint-Etienne -- Guingamp,0,0.477350913,0.337015696,0,0.120475598,0,1,4,0,1,0,3,6,0,2,0,0,2,0,0,0,0.105811497,0.459746094,0.760095,0.046521898,0,0,3,1,1,0,2,7,1,1,11/08/2018 21:00,0,0,0,1,0,0.934842207,1.37217449,0.934842207,0.61207949,0.597826511,0.152333396,2018,Ligue1
Lyon -- Amiens,0.232935108,0.0735897,1.001561092,0,0,2,0,5,0,0,4,3,8,0,0,1,0,1,0,0,0.033884399,0.036175702,0.19277155,0,0.0232527,1,0,0,0,0,1,1,7,0,1,12/08/2018 16:00,0,0,0,0,0,1.308085901,0.28608435,1.308085901,0.28608435,0.306524809,0.0933128,2018,Ligue1
Bordeaux -- Strasbourg,0,0.022777099,0.0480251,0,0.0145883,0,0,1,0,1,0,1,3,0,1,0,0,0,0,0,0.106688801,0.129599801,1.091211011,0,0,0,1,5,0,0,2,3,12,0,0,12/08/2018 18:00,0,1,1,0,0,0.0853905,1.327499613,0.0853905,1.327499613,0.037365399,0.236288602,2018,Ligue1
Paris Saint Germain -- Caen,0.151416402,0.00751506,3.1879915,0,0,0,1,7,0,0,2,1,8,0,0,0,0,3,0,0,0.064180203,0.0300673,0.0953211,0,0,0,0,1,0,0,1,2,2,0,0,12/08/2018 22:00,0,0,0,0,0,3.346922962,0.189568603,3.346922962,0.189568603,0.158931462,0.094247503,2018,Ligue1
Reims -- Lyon,0.056652501,0,0.620692704,0,0,0,0,2,0,0,1,0,6,0,0,0,0,1,0,0,0.071920402,0.114407003,0.742336898,0,0.0523738,1,0,3,0,1,1,1,16,0,1,17/08/2018 21:45,0,0,0,0,0,0.677345205,0.981038104,0.677345205,0.981038104,0.056652501,0.238701206,2018,Ligue1
Guingamp -- Paris Saint Germain,0,0.044614101,1.307781989,0,0,0,1,2,0,0,0,2,9,0,0,0,0,1,0,0,0.0594007,0.121521801,1.225406223,0.760095,0.462541014,0,0,5,1,0,1,2,12,1,1,18/08/2018 18:00,0,0,2,1,0,1.35239609,2.628964738,1.35239609,1.868869738,0.044614101,0.643463515,2018,Ligue1
Amiens -- Montpellier,0.0901432,0.0324833,0.164843102,0.760095,0.062837001,0,1,0,1,0,2,2,4,1,2,0,0,0,1,0,0,0,0.314290793,0,0,0,0,3,0,0,0,0,7,0,0,18/08/2018 21:00,0,0,2,0,0,1.110401603,0.314290793,0.350306603,0.314290793,0.185463501,0,2018,Ligue1
Caen -- Nice,0,0.064500503,0.346537498,0.760029018,0.029449699,0,1,2,1,0,0,1,10,1,1,0,0,0,1,0,0,0.105020599,0.4639311,0,0,0,0,5,0,0,0,4,11,0,0,18/08/2018 21:00,0,0,1,0,0,1.200516718,0.568951699,0.440487701,0.568951699,0.093950203,0.105020599,2018,Ligue1
Dijon -- Nantes,0.141554996,0.63184728,2.18680659,0,0,1,2,4,0,0,1,3,10,0,0,0,1,1,0,0,0.058701001,0.057308398,0.112621129,0,0,0,0,0,0,0,1,1,5,0,0,18/08/2018 21:00,0,0,0,0,0,2.960208867,0.228630528,2.960208867,0.228630528,0.773402276,0.116009399,2018,Ligue1
Monaco -- Lille,0,0.518179899,0.341951294,0.760095,0,0,0,0,1,0,0,3,6,1,0,0,0,0,0,0,0,0.1176272,0.462777697,0,0,0,1,3,0,0,0,2,11,0,0,18/08/2018 21:00,0,0,0,0,0,1.620226193,0.580404896,0.860131193,0.580404896,0.518179899,0.1176272,2018,Ligue1
Rennes -- Angers,0.0405633,0.228712096,0.121266797,0,0,0,1,1,0,0,1,2,2,0,0,0,0,1,0,0,0.107487999,0,0.242255496,0,0,0,0,0,0,0,1,0,6,0,0,18/08/2018 21:00,0,0,0,0,0,0.390542193,0.349743495,0.390542193,0.349743495,0.269275396,0.107487999,2018,Ligue1
Strasbourg -- Saint-Etienne,0.118550003,0.052614998,0.4548805,0,0,0,1,4,0,0,1,2,8,0,0,0,0,1,0,0,0.052806798,0.073710699,0.203034,0,0,0,0,2,0,0,1,2,6,0,0,19/08/2018 16:00,0,0,1,0,0,0.626045501,0.329551497,0.626045501,0.329551497,0.171165001,0.126517497,2018,Ligue1
Toulouse -- Bordeaux,0,0,1.277609008,0,0,0,0,5,0,0,0,0,13,0,0,0,0,2,0,0,0.163571797,0.037065402,0.601229291,0,0,0,0,7,0,0,2,1,12,0,0,19/08/2018 18:00,0,0,1,0,0,1.277609008,0.80186649,1.277609008,0.80186649,0,0.200637199,2018,Ligue1
Nimes -- Marseille,0,0.50170551,1.088678106,0,0.040975802,0,1,6,0,0,0,3,10,0,1,0,0,3,0,0,0,0.208678601,0.559110507,0,0.199598098,0,2,2,0,2,0,4,4,0,3,19/08/2018 22:00,0,0,1,0,0,1.631359417,0.967387207,1.631359417,0.967387207,0.542681311,0.408276699,2018,Ligue1
Lyon -- Strasbourg,0.208851703,0.175420603,0.858638904,0,0,2,0,8,0,0,3,3,16,0,0,0,0,2,0,0,0,0,0.354348099,0,0.0392434,0,0,1,0,0,0,0,8,0,1,24/08/2018 21:45,0,0,0,0,0,1.242911209,0.393591499,1.242911209,0.393591499,0.384272305,0.0392434,2018,Ligue1
Paris Saint Germain -- Angers,0,0,2.032228598,0,0,0,0,5,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0.745802798,0.760095,0,0,0,5,1,0,0,0,10,1,0,25/08/2018 18:00,0,0,0,1,0,2.032228598,1.505897799,2.032228598,0.745802798,0,0,2018,Ligue1
Amiens -- Reims,0.026418401,0.0156874,2.141012406,0,0,1,0,7,0,0,1,1,12,0,0,0,0,4,0,0,0,0,0.700141582,0,0,0,0,3,0,0,0,0,7,0,0,25/08/2018 21:00,0,0,1,0,0,2.183118207,0.700141582,2.183118207,0.700141582,0.042105801,0,2018,Ligue1
Montpellier -- Saint-Etienne,0,0.096132201,0.261293202,0,0.060120001,0,0,1,0,0,0,4,9,0,1,0,0,0,0,0,0,0,0.225307133,0,0.01981,0,0,2,0,0,0,0,8,0,1,25/08/2018 21:00,0,0,0,0,0,0.417545404,0.245117133,0.417545404,0.245117133,0.156252203,0.01981,2018,Ligue1
Nantes -- Caen,0.214555003,0,0.913477495,0.760095,0.0114201,1,0,1,1,0,4,0,10,1,1,0,0,0,1,0,0,0.0272147,0.607831001,0,0,0,1,1,0,0,0,1,2,0,0,25/08/2018 21:00,0,0,1,0,0,1.899547598,0.635045702,1.139452598,0.635045702,0.225975103,0.0272147,2018,Ligue1
Nice -- Dijon,0.057144001,0.0593074,1.565725319,0,0.0245244,1,0,1,0,1,1,2,11,0,2,0,0,0,0,0,0.0185632,0,1.482638026,0,0.441065997,0,0,4,0,1,1,0,7,0,1,25/08/2018 21:00,0,0,3,0,1,1.70670112,1.942267222,1.70670112,1.942267222,0.140975801,0.459629197,2018,Ligue1
Toulouse -- Nimes,0.031454101,0,1.181731585,1.520124018,0,0,0,2,2,0,1,0,7,2,0,0,0,0,1,0,0,0.107638001,0.314106797,0,0.064987898,0,0,0,0,0,0,1,7,0,1,25/08/2018 21:00,0,0,0,0,0,2.733309705,0.486732696,1.213185687,0.486732696,0.031454101,0.172625899,2018,Ligue1
Lille -- Guingamp,0,0.2063706,1.565936386,0,0,0,0,7,0,0,0,4,9,0,0,0,0,3,0,0,0.1529071,0.125044599,0.285803001,0,0,1,1,2,0,0,2,3,7,0,0,26/08/2018 16:00,0,0,0,0,0,1.772306985,0.5637547,1.772306985,0.5637547,0.2063706,0.277951699,2018,Ligue1
Bordeaux -- Monaco,0.119479399,0.0136872,0.535130108,1.520190001,0.1186425,0,0,4,2,0,2,1,7,2,2,0,0,1,1,0,0,0.148225799,0.409036296,0,0,0,0,5,0,0,0,3,12,0,0,26/08/2018 18:00,0,0,1,0,0,2.307129207,0.557262096,0.786939207,0.557262096,0.251809099,0.148225799,2018,Ligue1
Marseille -- Rennes,0,0.890781999,0.191829799,0,0,0,1,2,0,0,0,3,5,0,0,0,1,0,0,0,0.0975082,0,0.818335395,0.760095,0,0,0,1,1,0,2,0,5,1,0,26/08/2018 22:00,0,0,1,1,0,1.082611797,1.675938595,1.082611797,0.915843595,0.890781999,0.0975082,2018,Ligue1
Lyon -- Nice,0.129719302,0.0623875,1.512803598,0,0.255050987,0,0,9,0,0,2,3,23,0,1,0,0,0,0,0,0,0.151102901,0.261998406,0,0,0,1,0,0,0,0,4,4,0,0,31/08/2018 21:45,0,1,0,0,0,1.959961387,0.413101307,1.959961387,0.413101307,0.447157789,0.151102901,2018,Ligue1
Nimes -- Paris Saint Germain,0.0208668,0.062207798,0.324125001,0.760029018,0.00787443,0,0,5,1,0,1,2,9,1,1,0,0,1,1,0,0,0.254067603,2.297754034,0,0,0,1,4,0,0,0,2,5,0,0,01/09/2018 15:00,0,1,3,0,0,1.175103048,2.551821638,0.41507403,2.551821638,0.090949029,0.254067603,2018,Ligue1
Angers -- Lille,0,0.613599174,0.139307898,0,0.00999792,0,1,1,0,1,0,2,3,0,1,0,1,0,0,0,0.062590197,0.086445697,0.442796006,0.760095,0.474298213,0,0,3,1,0,1,1,12,1,2,01/09/2018 18:00,0,0,0,0,0,0.762904992,1.826225112,0.762904992,1.066130112,0.623597094,0.623334106,2018,Ligue1
Dijon -- Caen,0.117194198,0.193010397,0.594740901,0,0,1,0,1,0,0,2,4,9,0,0,0,0,0,0,0,0.105659001,0.136009103,1.00781367,0,0,0,1,3,0,0,1,2,6,0,0,01/09/2018 18:00,0,0,2,0,0,0.904945496,1.249481773,0.904945496,1.249481773,0.310204595,0.241668103,2018,Ligue1
Guingamp -- Toulouse,0.1062738,0.412314501,1.470227668,0,0.064503402,1,1,3,0,0,2,6,13,0,2,0,1,0,0,0,0,0,0.963938311,0,0.0577101,0,0,3,0,1,0,0,4,0,1,01/09/2018 18:00,0,0,1,0,1,2.05331937,1.021648411,2.05331937,1.021648411,0.583091702,0.0577101,2018,Ligue1
Reims -- Montpellier,0.036924802,0.191353098,0.642774276,0,0.15751706,0,0,3,0,1,1,3,14,0,3,0,0,0,0,0,0,0.204698798,0.254737502,0,0.00966164,0,0,3,0,0,0,3,5,0,1,01/09/2018 18:00,0,0,1,0,0,1.028569235,0.46909794,1.028569235,0.46909794,0.385794959,0.214360438,2018,Ligue1
Strasbourg -- Nantes,0,0,1.339168597,0,0.086518697,0,0,5,0,0,0,0,10,0,1,0,0,2,0,0,0.082918704,0,1.213263183,0,0,0,0,5,0,0,1,0,13,0,0,01/09/2018 18:00,0,0,2,0,0,1.425687294,1.296181886,1.425687294,1.296181886,0.086518697,0.082918704,2018,Ligue1
Saint-Etienne -- Amiens,0,0.129735101,0.574216198,0,0.035679799,0,0,4,0,1,0,4,14,0,1,0,0,0,0,0,0,0,0.325125702,0,0,0,0,2,0,0,0,0,9,0,0,02/09/2018 13:00,0,0,0,0,0,0.739631098,0.325125702,0.739631098,0.325125702,0.1654149,0,2018,Ligue1
Rennes -- Bordeaux,0,0.879272486,1.748068279,0,0.0197093,0,2,4,0,1,0,5,10,0,1,0,2,0,0,0,0,0,0.448128632,0,0,0,0,1,0,0,0,0,8,0,0,02/09/2018 15:00,0,0,0,0,0,2.647050065,0.448128632,2.647050065,0.448128632,0.898981786,0,2018,Ligue1
Monaco -- Marseille,0,0,1.850577209,0,0.00822987,0,0,3,0,0,0,0,7,0,1,0,0,2,0,0,0,0.076548602,1.744190778,0,0,0,1,4,0,0,0,3,12,0,0,02/09/2018 19:00,0,1,2,0,0,1.858807079,1.820739379,1.858807079,1.820739379,0.00822987,0.076548602,2018,Ligue1
Nice -- Rennes,0.076442502,0.085569398,1.270862097,0,0,0,0,4,0,0,1,2,11,0,0,0,0,2,0,0,0.095735103,0,0.1173038,0.760095,0.068646602,1,0,0,1,0,2,0,5,1,1,14/09/2018 17:00,0,0,0,0,0,1.432873997,1.041780505,1.432873997,0.281685505,0.1620119,0.164381705,2018,Ligue1
Paris Saint Germain -- Saint-Etienne,0,0.086750602,1.866133709,0.760095,0,0,1,7,1,0,0,3,12,1,0,0,0,3,1,0,0.066367701,0.113615502,0.591376018,0,0.129538,0,0,2,0,0,1,2,7,0,1,14/09/2018 18:45,0,0,0,0,0,2.712979311,0.90089722,1.952884311,0.90089722,0.086750602,0.309521202,2018,Ligue1
Caen -- Lyon,0,0.021988001,0.3877276,0.760095,0.656090585,0,0,2,1,1,0,1,10,1,6,0,0,0,1,1,0.131180301,0.346677005,0.401614007,0,0.134239098,1,0,4,0,1,2,2,10,0,3,15/09/2018 15:00,1,0,1,0,0,1.825901185,1.013710411,1.065806185,1.013710411,0.678078585,0.612096405,2018,Ligue1
Amiens -- Lille,0.077996999,0,0.610580526,0.760095,0,1,0,2,1,0,1,0,5,1,0,1,0,1,0,0,0,0,1.2363242,1.520190001,0.069522298,0,0,7,2,0,0,0,14,2,2,15/09/2018 18:00,0,0,1,2,0,1.448672526,2.826036499,0.688577525,1.305846498,0.077996999,0.069522298,2018,Ligue1
Dijon -- Angers,0.050173402,0.0522184,0.634735893,0,0.586463084,0,0,2,0,1,1,2,8,0,2,0,0,0,0,1,0.060100202,0.063004099,1.408385806,0,0.016000399,0,0,6,0,0,1,1,11,0,1,15/09/2018 18:00,0,0,3,0,0,1.32359078,1.547490506,1.32359078,1.547490506,0.688854886,0.1391047,2018,Ligue1
Montpellier -- Strasbourg,0.0458517,0.0611609,0.237056097,0,0,1,1,1,0,0,1,1,8,0,0,0,1,0,0,0,0,0,0.222477692,0,0.534183114,0,0,0,0,1,0,0,4,0,3,15/09/2018 18:00,0,0,0,0,1,0.344068697,0.756660806,0.344068697,0.756660806,0.1070126,0.534183114,2018,Ligue1
Toulouse -- Monaco,0,0.2082882,0.839049092,0,0,0,1,5,0,0,0,3,10,0,0,0,0,1,0,0,0,0,0.411113494,0,0,0,0,2,0,0,0,0,12,0,0,15/09/2018 18:00,0,0,1,0,0,1.047337292,0.411113494,1.047337292,0.411113494,0.2082882,0,2018,Ligue1
Nantes -- Reims,0.063002802,0.115992403,0.573390011,0,0.069919303,1,0,5,0,0,1,3,7,0,1,0,0,0,0,0,0.1317733,0.092104401,0.108755,0,0.093874201,0,0,0,0,0,2,3,1,0,1,16/09/2018 13:00,0,0,0,0,0,0.822304519,0.426506903,0.822304519,0.426506903,0.248914508,0.317751903,2018,Ligue1
Bordeaux -- Nimes,0.046654701,0.1931614,0.747590606,0,0,0,0,4,0,0,1,3,11,0,0,0,0,3,0,0,0.199854895,0.093157899,1.125484569,0,0,2,0,3,0,0,3,3,9,0,0,16/09/2018 15:00,1,0,2,0,0,0.987406707,1.418497363,0.987406707,1.418497363,0.239816101,0.293012794,2018,Ligue1
Marseille -- Guingamp,0,0.647044129,1.444004331,0,0.042234601,0,0,6,0,0,0,4,11,0,2,0,0,4,0,0,0,0.082334898,0.064205199,0,0,0,0,0,0,0,0,1,1,0,0,16/09/2018 19:00,0,0,0,0,0,2.13328306,0.146540098,2.13328306,0.146540098,0.689278729,0.082334898,2018,Ligue1
Monaco -- Nimes,0.074616998,0.111265397,0.943854597,0,0.583226025,0,1,3,0,0,1,3,10,0,1,0,0,1,0,0,0.045234401,0.117820699,0.085898798,0,0.527704789,0,0,0,0,2,1,2,3,0,3,21/09/2018 18:45,0,0,0,0,1,1.712963018,0.776658687,1.712963018,0.776658687,0.76910842,0.690759889,2018,Ligue1
Lille -- Nantes,0,0.0270378,0.676124107,0,0,0,2,6,0,0,0,2,9,0,0,0,1,1,0,0,0,0.0690514,1.168284222,0,0,0,0,4,0,0,0,1,10,0,0,22/09/2018 15:00,0,0,1,0,0,0.703161907,1.237335622,0.703161907,1.237335622,0.0270378,0.0690514,2018,Ligue1
Angers -- Toulouse,0.048018198,0.085515799,0.394019499,0,0.086015098,0,2,2,0,0,1,3,11,0,1,0,0,0,0,0,0,0.081557801,0.337872408,0,0,0,0,0,0,0,0,2,5,0,0,22/09/2018 18:00,0,0,0,0,0,0.613568595,0.419430209,0.613568595,0.419430209,0.219549095,0.081557801,2018,Ligue1
Montpellier -- Nice,0,0.704975877,0.983658202,0,0,0,0,4,0,0,0,4,8,0,0,0,0,1,0,0,0.107231997,0.049221098,0.137231399,0,0.018289,0,0,2,0,0,1,1,6,0,1,22/09/2018 18:00,0,0,0,0,0,1.688634079,0.311973494,1.688634079,0.311973494,0.704975877,0.174742095,2018,Ligue1
Reims -- Dijon,0,0.0653622,0.626059496,0,0.371585004,0,0,0,0,2,0,2,7,0,2,0,0,0,0,0,0.066372901,0.0147806,0.0729458,0,0,0,0,0,0,0,1,1,4,0,0,22/09/2018 18:00,0,0,0,0,0,1.0630067,0.154099301,1.0630067,0.154099301,0.436947204,0.081153501,2018,Ligue1
Saint-Etienne -- Caen,0.080588602,1.22723568,1.139389008,0.760095,0.178948302,0,1,4,1,1,1,4,13,1,4,0,1,0,1,0,0,0,0.244751069,0,0.062835097,0,0,2,0,0,0,0,8,0,1,22/09/2018 18:00,0,0,1,0,0,3.386256592,0.307586167,2.626161592,0.307586167,1.486772584,0.062835097,2018,Ligue1
Strasbourg -- Amiens,0.060513198,0.069762297,0.94443983,0,0,1,0,5,0,0,1,1,11,0,0,1,0,1,0,0,0,0,0.626182603,0,0.0467009,0,0,3,0,0,0,0,7,0,2,22/09/2018 18:00,0,0,1,0,0,1.074715326,0.672883503,1.074715326,0.672883503,0.130275495,0.0467009,2018,Ligue1
Rennes -- Paris Saint Germain,0.085039102,0.433025505,0.774078479,0,0,1,1,2,0,0,1,4,9,0,0,0,0,0,0,0,0,0,1.678979727,0,0.0147163,0,0,4,0,0,0,1,14,0,1,23/09/2018 13:00,0,0,3,0,0,1.292143086,1.693696028,1.292143086,1.693696028,0.518064607,0.0147163,2018,Ligue1
Guingamp -- Bordeaux,0.0354583,0.064064299,0.656297387,0.760095,0.563331887,0,1,2,1,1,1,3,11,1,2,0,0,0,1,0,0,0.042321801,0.7703525,0,0,0,0,6,0,0,0,1,10,0,0,23/09/2018 15:00,0,0,3,0,0,2.079246873,0.812674301,1.319151873,0.812674301,0.662854486,0.042321801,2018,Ligue1
