fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Manchester United -- Leicester,0,0,0.752529493,0.761169016,0,0,0,5,1,0,0,0,7,1,0,0,0,1,1,0,0.0511638,0.094497497,1.592472303,0,0,0,0,4,0,0,1,2,10,0,0,10/08/2018 22:00,0,0,1,0,0,1.513698509,1.7381336,0.752529493,1.7381336,0,0.145661297,2018,EPL
Newcastle United -- Tottenham,0,0.0881184,0.820193797,0,0.066499801,0,1,1,0,0,0,3,10,0,2,0,0,1,0,0,0.029902499,0.952752315,1.631204803,0,0.030900599,1,1,3,0,0,1,4,9,0,1,11/08/2018 14:30,0,1,1,0,0,0.974811999,2.644760216,0.974811999,2.644760216,0.154618202,1.013555413,2018,EPL
Bournemouth -- Cardiff,0,0.079094498,1.45199313,0.761169016,0.30796501,0,1,1,1,1,0,2,8,1,1,0,1,1,0,0,0.0777255,1.086709976,0.469774403,0,0,0,1,0,0,0,1,2,7,0,0,11/08/2018 17:00,0,0,0,0,0,2.600221655,1.634209879,1.839052639,1.634209879,0.387059509,1.164435476,2018,EPL
Fulham -- Crystal Palace,0.060486998,0.0192552,0.501810603,0,0.057587301,0,0,5,0,1,1,1,11,0,2,0,0,0,0,0,0,0.0140957,1.056829074,0,0.00723917,0,0,9,0,1,0,1,10,0,1,11/08/2018 17:00,0,0,2,0,0,0.639140103,1.078163945,0.639140103,1.078163945,0.1373295,0.02133487,2018,EPL
Huddersfield -- Chelsea,0,0.248585999,0.138694103,0,0.00883425,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0.197191406,0.625988715,0.737248188,0.761169016,0,0,1,2,1,0,2,3,7,1,0,11/08/2018 17:00,0,0,2,1,0,0.396114352,2.321597326,0.396114352,1.560428309,0.257420249,0.823180121,2018,EPL
Watford -- Brighton,0.099434901,0.245598201,0.871086899,0,0.278660005,1,1,3,0,0,2,4,11,0,2,0,1,1,0,0,0.036736,0.023031,0.395272909,0,0,0,0,0,0,0,1,1,4,0,0,11/08/2018 17:00,0,0,0,0,0,1.494780006,0.455039909,1.494780006,0.455039909,0.623693107,0.059767,2018,EPL
Wolverhampton Wanderers -- Everton,0.120783001,0,0.770254818,0,0,1,0,3,0,0,1,0,10,0,0,1,0,1,0,0,0,0.031383201,0.1431228,0,0.540875971,0,1,3,0,1,0,2,3,0,1,11/08/2018 19:30,0,0,1,0,1,0.891037819,0.715381972,0.891037819,0.715381972,0.120783001,0.572259172,2018,EPL
Liverpool -- West Ham,0.119450502,0.733458113,3.380567919,0,0.113509297,1,1,6,0,0,2,3,11,0,2,0,1,3,0,0,0,0.186034393,0.218219441,0,0,0,1,1,0,0,0,2,3,0,0,12/08/2018 15:30,0,0,0,0,0,4.346985832,0.404253834,4.346985832,0.404253834,0.966417912,0.186034393,2018,EPL
Southampton -- Burnley,0,0.241471699,0.778470512,0,0,0,1,2,0,0,0,4,14,0,0,0,0,0,0,0,0.065064803,0.157507898,0.983011474,0,0.210461993,0,2,3,0,1,1,4,9,0,2,12/08/2018 15:30,0,0,0,0,0,1.01994221,1.416046168,1.01994221,1.416046168,0.241471699,0.433034694,2018,EPL
Arsenal -- Manchester City,0,0,0.437644897,0,0.00754124,0,0,2,0,1,0,0,8,0,1,0,0,0,0,0,0.145934001,0.092989698,1.238512718,0,0.634150028,1,0,6,0,1,1,1,14,0,1,12/08/2018 18:00,0,0,2,0,0,0.445186137,2.111586445,0.445186137,2.111586445,0.00754124,0.873073727,2018,EPL
