fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Bayern Munich -- Hamburger SV,0.048526201,0.097550398,2.584396663,0,0.498571992,1,0,7,0,1,1,2,19,0,1,0,0,4,0,1,0,0,0.15423429,0,0,0,0,1,0,0,0,0,5,0,0,14/08/2015 22:30,0,0,0,0,0,3.229045254,0.15423429,3.229045254,0.15423429,0.644648591,0,2015,Bundesliga
Augsburg -- Hertha Berlin,0.320470601,0.269576102,0.541338191,0,0.0173009,1,0,2,0,0,3,4,12,0,1,0,0,0,0,0,0.0551145,0,0.393932503,0.757776976,0.026089299,0,0,2,1,0,1,0,8,1,1,15/08/2015 17:30,0,0,0,1,0,1.148685795,1.232913278,1.148685795,0.475136302,0.607347604,0.0812038,2015,Bundesliga
Bayer Leverkusen -- Hoffenheim,0.094246402,0.579032816,2.820080077,0,0.068394199,0,1,8,0,0,2,7,15,0,1,0,0,2,0,0,0,0,0.460415489,0,0.023534101,0,0,1,0,1,0,0,5,0,1,15/08/2015 17:30,0,0,1,0,0,3.561753495,0.48394959,3.561753495,0.48394959,0.741673417,0.023534101,2015,Bundesliga
Darmstadt -- Hannover 96,0,0.570028007,1.225081779,0,0.02890711,0,0,3,0,1,0,1,8,0,3,0,0,2,0,0,0,0.476427907,0.511871116,0.757776976,0.111235499,0,0,2,1,2,0,4,5,1,3,15/08/2015 17:30,0,0,1,0,0,1.824016896,1.857311498,1.824016896,1.099534523,0.598935117,0.587663407,2015,Bundesliga
Mainz 05 -- Ingolstadt,0.167273298,0.041071801,0.325791505,0,0.0151509,0,0,2,0,1,2,2,4,0,1,0,0,0,0,0,0,0.0119547,0.413813382,0,0.151547647,0,0,4,0,1,0,1,9,0,4,15/08/2015 17:30,0,0,1,0,0,0.549287504,0.577315729,0.549287504,0.577315729,0.223495998,0.163502347,2015,Bundesliga
Werder Bremen -- Schalke 04,0.183907799,0.106477397,0.612508471,0,0.0139281,0,0,2,0,0,2,2,11,0,1,0,0,0,0,0,0.039023001,0.0475786,1.363202836,0,0,0,0,5,0,0,1,3,12,0,0,15/08/2015 17:30,0,0,2,0,0,0.916821767,1.449804437,0.916821767,1.449804437,0.304313296,0.086601601,2015,Bundesliga
Borussia Dortmund -- Borussia M.Gladbach,0.037077099,0.143256398,2.24272188,0,0,0,0,6,0,0,1,4,13,0,0,0,0,4,0,0,0,0.155311603,0.033622399,0,0,0,1,0,0,0,0,4,1,0,0,15/08/2015 20:30,0,0,0,0,0,2.423055377,0.188934002,2.423055377,0.188934002,0.180333497,0.155311603,2015,Bundesliga
Wolfsburg -- Eintracht Frankfurt,0.046429701,0,0.693610786,0,0,0,0,3,0,0,1,0,4,0,0,0,0,2,0,0,0.117641501,0.0531407,0.710991781,0,0.068324499,0,1,5,0,0,2,1,9,0,1,16/08/2015 17:30,0,0,1,0,0,0.740040487,0.950098481,0.740040487,0.950098481,0.046429701,0.2391067,2015,Bundesliga
VfB Stuttgart -- FC Cologne,0.036880501,0.0303106,2.120490508,0.757776976,0.048392199,0,0,5,1,1,1,2,23,1,1,0,0,0,1,0,0.061034799,0.0116754,0.994717126,0.757776976,0.025668301,0,1,3,1,0,1,1,5,1,1,16/08/2015 19:30,0,0,2,1,0,2.993850783,1.8508726,2.236073808,1.093095625,0.1155833,0.098378499,2015,Bundesliga
Hertha Berlin -- Werder Bremen,0,0.0460531,0.454340901,0,0,0,0,2,0,0,0,2,8,0,0,0,0,1,0,0,0.049672399,0.072704001,0.910552507,0,0,1,0,2,0,0,1,2,6,0,0,21/08/2015 22:30,0,0,1,0,0,0.500394002,1.032928907,0.500394002,1.032928907,0.0460531,0.1223764,2015,Bundesliga
Eintracht Frankfurt -- Augsburg,0,0.0517135,0.883846512,0,0.00971774,0,1,2,0,0,0,3,7,0,1,0,0,1,0,0,0.0257273,0.035265401,1.200126529,0,0,0,1,3,0,0,1,1,12,0,0,22/08/2015 17:30,0,0,1,0,0,0.945277752,1.26111923,0.945277752,1.26111923,0.06143124,0.060992701,2015,Bundesliga
FC Cologne -- Wolfsburg,0,0,1.349234575,0,0.029016601,0,0,5,0,1,0,0,8,0,1,0,0,1,0,0,0,0.0711933,1.811648525,0,0.27542299,0,0,5,0,1,0,1,13,0,1,22/08/2015 17:30,0,0,1,0,0,1.378251176,2.158264816,1.378251176,2.158264816,0.029016601,0.346616291,2015,Bundesliga
Hannover 96 -- Bayer Leverkusen,0,0,0.084623202,0,0.0129264,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0.107237399,0.026912101,0.66995959,0,0.569535971,1,1,2,0,0,2,1,7,0,1,22/08/2015 17:30,1,0,0,0,0,0.097549601,1.37364506,0.097549601,1.37364506,0.0129264,0.70368547,2015,Bundesliga
Hoffenheim -- Bayern Munich,0.0604061,0.0320591,0.394375186,0.757776976,0.054910401,0,0,1,0,0,1,1,3,1,2,0,0,1,0,0,0.080167003,0.321887001,2.136228373,0,0.0684193,0,1,8,0,0,1,2,17,0,1,22/08/2015 17:30,0,0,2,0,0,1.299527762,2.606701678,0.541750787,2.606701678,0.1473756,0.470473304,2015,Bundesliga
Schalke 04 -- Darmstadt,0.099445,0.171046399,0.661820904,0,0.130630395,0,1,3,0,1,2,4,12,0,3,0,0,1,0,0,0.0238591,0.066866102,0.565512909,0,0.134141099,0,0,2,0,1,1,2,4,0,2,22/08/2015 17:30,0,0,0,0,1,1.062942699,0.790379209,1.062942699,0.790379209,0.401121794,0.224866301,2015,Bundesliga
Hamburger SV -- VfB Stuttgart,0,0,1.266201104,0,0.060224898,0,0,4,0,1,0,0,13,0,1,0,0,3,0,0,0.063875001,0.282936893,1.548682865,0,0,1,1,2,0,0,2,3,7,0,0,22/08/2015 20:30,0,0,2,0,0,1.326426002,1.895494759,1.326426002,1.895494759,0.060224898,0.346811894,2015,Bundesliga
Ingolstadt -- Borussia Dortmund,0,0,0.0409283,0,0.0104789,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0.314523403,2.139507027,0.757776976,0.43294701,0,3,4,1,0,0,3,13,1,1,23/08/2015 17:30,0,0,3,1,0,0.0514072,3.644754415,0.0514072,2.88697744,0.0104789,0.747470412,2015,Bundesliga
