fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Genoa -- Fiorentina,0.052475698,1.082476908,1.280362492,0,0,0,3,4,0,0,1,10,11,0,0,0,1,1,0,0,01/09/2019 19:45,0,0.142249097,0.836304046,0.761299014,0.064570397,0,0,5,1,0,0,4,13,1,1,0,0,0,1,0,2.415315099,1.804422554,2.415315099,1.04312354,1.134952607,0.206819494,2019,SerieA
Lecce -- Verona,0,0.013421,0.575454292,0,0.40584119,0,0,3,0,0,0,1,12,0,2,0,0,0,0,0,01/09/2019 19:45,0.064699903,0.384866104,1.005913716,0,0.373448713,0,0,2,0,2,1,3,9,0,2,0,0,1,0,0,0.994716482,1.828928436,0.994716482,1.828928436,0.41926219,0.82301472,2019,SerieA
Sassuolo -- Sampdoria,0.044983,0.0193223,2.598488651,0,0,0,0,8,0,0,1,1,11,0,0,0,0,4,0,0,01/09/2019 19:45,0,0.146047899,0.335588098,0.761299014,0,0,0,3,1,0,0,3,7,1,0,0,0,0,1,0,2.662793951,1.242935011,2.662793951,0.481635997,0.0643053,0.146047899,2019,SerieA
Udinese -- Parma Calcio 1913,0.055590499,0.189879796,1.421461606,0,0.0303421,0,2,8,0,0,1,4,17,0,1,0,0,1,0,0,01/09/2019 19:45,0,0,1.214488922,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,0,0,1.697274002,1.214488922,1.697274002,1.214488922,0.275812396,0,2019,SerieA
Fiorentina -- Juventus,0,0.134091702,1.307696518,0,0.043669701,0,1,4,0,0,0,3,14,0,1,0,0,0,0,0,14/09/2019 13:00,0.0523738,0,0.259258097,0,0.0137357,0,0,4,0,0,1,0,6,0,1,0,0,0,0,0,1.48545792,0.325367598,1.48545792,0.325367598,0.177761403,0.066109501,2019,SerieA
Napoli -- Sampdoria,0.058887299,0.0955472,1.552448305,0,0.026334099,0,0,6,0,0,1,4,20,0,1,0,0,2,0,0,14/09/2019 16:00,0,0.183299094,1.51455793,0,0,0,1,1,0,0,0,2,8,0,0,0,0,0,0,0,1.733216904,1.697857024,1.733216904,1.697857024,0.180768599,0.183299094,2019,SerieA
Inter -- Udinese,0.115282997,0.090368003,1.353355786,0,0.0114861,1,1,6,0,0,2,3,16,0,1,0,0,1,0,0,14/09/2019 18:45,0,0.0966268,0.085200699,0,0.069097497,0,1,3,0,1,0,2,3,0,1,0,0,0,0,0,1.570492886,0.250924995,1.570492886,0.250924995,0.2171371,0.165724296,2019,SerieA
Genoa -- Atalanta,0.071056098,0.0446469,0.3875296,0.761299014,0.090420499,0,1,1,1,0,1,1,11,1,2,0,0,0,1,0,15/09/2019 10:30,0,0.019523,1.65849811,0.761299014,0,0,1,4,1,0,0,1,16,1,0,0,0,1,1,0,1.354952112,2.439320125,0.593653098,1.678021111,0.206123497,0.019523,2019,SerieA
Brescia -- Bologna,0,0.120898798,0.990888009,0,0.031325001,0,2,3,0,1,0,2,6,0,1,0,1,1,0,1,15/09/2019 13:00,0,0.982254403,2.311756274,0,0.399569005,0,2,5,0,1,0,6,15,0,1,0,1,2,0,1,1.143111808,3.693579681,1.143111808,3.693579681,0.152223799,1.381823407,2019,SerieA
Parma Calcio 1913 -- Cagliari,0.119145501,0.093833902,0.862253791,0,0.257638995,0,1,6,0,0,3,4,11,0,3,0,0,1,0,0,15/09/2019 13:00,0.055523701,0.069098398,0.248984503,0,0.310648903,0,1,1,0,1,1,1,4,0,2,0,1,1,0,1,1.332872189,0.684255505,1.332872189,0.684255505,0.470618398,0.435271002,2019,SerieA
